x,y,score
598600,198700,38
600000,197800,44
602400,202800,20
597200,199000,32
596600,198900,60
600100,198800,31
600400,199300,42
596100,198000,34
595300,199500,36
603400,200600,33
602500,200800,24
603300,198400,23
597200,199400,43
599700,202100,31
601100,198900,32
600700,200300,84
601700,201600,23
603900,200400,121
604800,200800,22
603400,201200,32
603500,203100,33
599600,200000,60
601800,201500,67
600700,199900,45
601200,201400,29
599600,200200,64
600100,198600,22
601000,199700,27
605000,197900,38
601000,200800,42
601100,201000,97
599600,199100,56
601600,201400,31
600900,199100,34
599900,198600,45
600900,199000,88
599400,199000,42
604600,198400,40
603800,200100,38
604300,202200,37
598300,197400,41
603300,201100,41
605400,198100,62
598400,197900,95
600400,199200,38
601900,200500,26
602100,200500,25
597900,199200,43
599800,202800,25
601000,200300,20
598300,198200,27
602400,199200,118
604600,200600,47
601200,200900,81
604800,198100,25
600100,200700,36
598200,197600,28
599200,202400,39
597900,196900,38
599600,202200,24
600600,199600,114
596100,199000,34
596400,199300,108
598700,197700,21
599200,200000,24
601100,201200,111
603500,198600,42
595800,198600,50
599700,199100,51
601000,201200,48
595900,199300,28
599700,198400,35
596000,198300,29
600900,201200,45
604800,200500,28
604300,201000,20
601700,200500,40
602800,202400,39
599500,202000,34
595900,199700,73
599800,198300,38
602200,199300,31
599400,198000,53
599500,200100,76
599300,198900,96
604900,197600,28
598000,199600,21
598900,199300,60
599000,198700,61
597800,199500,38
600300,198900,23
601200,197800,25
602200,198300,38
596600,199000,53
600800,198500,20
601500,200300,52
598300,199200,54
601800,200300,29
599400,202700,20
602600,199200,97
600000,197600,80
603500,197700,24
604400,200800,35
601400,200900,167
600300,199700,77
597700,196900,48
596600,199500,39
601500,200600,63
596100,199300,41
601000,200400,56
601800,200400,45
600500,199900,35
602200,202400,32
600600,201000,25
599100,197400,48
604100,200500,61
603300,200600,55
603100,202300,36
600000,197400,42
600700,198500,35
600200,200200,32
605000,200400,30
600700,200800,48
600900,197700,31
603900,200900,24
602100,199300,24
604200,196900,33
601300,201200,27
597100,199100,29
604700,200700,83
596300,199300,82
600800,200900,62
601300,199700,82
599600,198900,69
595500,199900,45
599400,198400,26
603300,197700,20
602900,198600,25
602500,199200,73
602300,198400,32
596600,198200,51
599600,199000,75
604600,198200,21
602200,198400,29
599400,199500,32
599800,198600,71
600500,200900,31
595600,199800,88
603500,200500,80
598400,198500,40
601100,202500,39
602400,198400,33
602100,201500,68
596900,199700,25
600800,201100,36
603900,202000,28
598900,200300,40
600500,201100,56
601100,197900,20
603400,200400,54
599800,200100,21
599400,199600,67
601000,200900,73
603900,199900,25
599800,202300,22
595500,199800,95
598400,198700,53
601000,202500,21
603700,199900,49
598200,197700,44
601300,200700,51
599500,197900,28
600300,198100,45
603300,202600,32
601400,197700,30
599700,200300,55
598400,198900,51
602000,201300,21
605200,197700,38
601000,199800,30
600900,201000,68
600800,200600,22
602300,198600,24
601900,199500,44
600600,200500,70
599600,200400,158
596400,199800,38
601100,200400,68
595500,199700,47
601100,200700,33
598300,198300,22
599000,200100,69
601400,200700,27
601300,203700,22
600300,197600,32
596300,199500,47
599100,200500,80
601600,199000,31
596800,199500,204
604000,200800,37
600400,198100,62
598300,198600,36
598500,198400,31
599300,200400,66
599600,199200,77
595900,199800,58
604600,200800,49
603100,200500,125
601400,199900,26
596100,199500,23
596800,199200,40
599300,199200,34
603900,200200,82
595400,199800,28
600800,200500,83
603000,202500,21
600100,199600,64
599200,197600,21
598600,199400,35
