x,y,score
598600,198700,31
600000,197800,34
597200,199000,27
596600,198900,49
600100,198800,24
600400,199300,37
596100,198000,28
595300,199500,31
603400,200600,22
603300,198400,21
597200,199400,33
599700,202100,23
601100,198900,27
600700,200300,95
603900,200400,91
603400,201200,25
603500,203100,28
599600,200000,48
601800,201500,56
600700,199900,44
601200,201400,27
599600,200200,50
601000,199700,24
605000,197900,32
601000,200800,33
601100,201000,86
599600,199100,46
600300,199900,21
601600,201400,29
600900,199100,27
599900,198600,36
600900,199000,76
599400,199000,38
604600,198400,36
603800,200100,34
604300,202200,32
598300,197400,40
603300,201100,31
605400,198100,49
598400,197900,67
600400,199200,30
601900,200500,24
602100,200500,20
597900,199200,40
598300,198200,23
602400,199200,106
604600,200600,44
601200,200900,75
600100,200700,35
598200,197600,28
599200,202400,33
597900,196900,33
599600,202200,21
600600,199600,128
596100,199000,27
596400,199300,77
599200,200000,22
601100,201200,103
603500,198600,36
595800,198600,33
599700,199100,46
601000,201200,43
595900,199300,23
599700,198400,31
596000,198300,26
600900,201200,37
604800,200500,24
601700,200500,33
602800,202400,34
599500,202000,30
595900,199700,50
599800,198300,31
602200,199300,28
599400,198000,46
599500,200100,67
599300,198900,72
604900,197600,24
598900,199300,51
599000,198700,46
597800,199500,33
601200,197800,22
602200,198300,36
596600,199000,36
600800,198500,20
601500,200300,49
598300,199200,45
601800,200300,24
602600,199200,69
600000,197600,68
604400,200800,28
601400,200900,133
600300,199700,64
597700,196900,40
596600,199500,33
601500,200600,61
596100,199300,37
601000,200400,51
601800,200400,40
600500,199900,34
602200,202400,30
600600,201000,24
599100,197400,45
604100,200500,54
603300,200600,36
603100,202300,30
600000,197400,34
600700,198500,27
600200,200200,27
600700,200800,37
600900,197700,22
603900,200900,20
604200,196900,28
601300,201200,22
597100,199100,25
604700,200700,75
596300,199300,63
600800,200900,55
601300,199700,75
599600,198900,55
595500,199900,40
599400,198400,25
602500,199200,66
602300,198400,32
596600,198200,47
599600,199000,71
602200,198400,27
599400,199500,27
599800,198600,57
600500,200900,29
595600,199800,76
603500,200500,70
598400,198500,36
601100,202500,34
602400,198400,28
602100,201500,42
600800,201100,31
603900,202000,22
598900,200300,36
600500,201100,45
603400,200400,43
599400,199600,51
601000,200900,65
595500,199800,66
598400,198700,43
603700,199900,42
598200,197700,35
601300,200700,40
599500,197900,22
600300,198100,30
603300,202600,28
601400,197700,27
599700,200300,48
598400,198900,44
605200,197700,28
601000,199800,26
600900,201000,61
602300,198600,21
601900,199500,41
600600,200500,68
599600,200400,123
596400,199800,34
601100,200400,57
595500,199700,39
601100,200700,34
599000,200100,59
601400,200700,25
600300,197600,24
596300,199500,38
599100,200500,62
601600,199000,26
596800,199500,144
604000,200800,31
600400,198100,48
598300,198600,30
598500,198400,26
599300,200400,60
599600,199200,73
595900,199800,53
604600,200800,41
603100,200500,88
596100,199500,20
596800,199200,28
599300,199200,30
603900,200200,68
595400,199800,24
600800,200500,86
600100,199600,63
598600,199400,35
601400,199700,72
596600,198300,21
599000,197500,34
600000,197500,54
605900,197600,29
599800,197400,49
596200,199700,55
599400,198700,21
602200,200400,49
600900,197300,31
596200,199500,23
601600,201200,24
595700,199800,42
602100,201400,37
597800,196600,37
595600,199900,30
598700,197400,58
599400,198900,65
602900,202500,49
603500,201100,21
596100,199700,29
600500,200800,43
598700,199400,55
600900,200600,35
599800,200500,34
599700,198800,84
600800,201800,64
604100,202000,21
596700,199400,85
601400,199600,57
600100,199800,70
596900,199400,30
601700,201500,24
601300,201000,65
596100,198700,41
597900,199300,26
597800,197000,25
599500,200500,53
603600,200700,23
602600,198400,70
602300,202500,26
601700,201800,42
599500,200300,28
601000,199600,91
599300,199100,22
600200,199600,140
601300,201300,35
599500,200400,50
596000,199700,24
600600,200900,46
604600,198300,25
599200,202300,23
599700,200100,21
596100,199100,21
602300,200400,29
598200,198700,36
603600,200400,68
599900,200500,37
600800,200700,24
597600,199200,22
598500,197200,21
602300,199400,36
601400,201400,48
597100,199200,24
599500,199600,31
596000,198800,30
604000,202000,22
600400,200800,29
599200,199300,57
602800,202300,27
604300,197000,24
596500,199700,20
595800,199800,52
600900,200700,27
599800,202700,27
601900,200400,58
598700,198800,23
