x,y,score
602700,198600,50
598600,198700,37
600700,199000,28
604200,201400,26
600000,197800,46
605400,197900,49
602400,202800,57
597200,199000,32
596500,198800,38
596600,198900,58
600100,198800,93
600400,199300,107
602400,200700,22
596100,198000,69
595300,199500,26
603400,200600,63
602500,200800,104
600100,199300,31
602400,199700,33
603300,198400,107
602400,203200,22
597200,199400,51
597300,199700,26
601100,198900,61
600700,200300,130
602500,201000,36
601700,201600,35
599900,202400,22
603900,200400,97
604800,200800,29
598500,198100,38
599600,200700,21
603400,201200,60
603500,203100,23
599600,200000,134
601800,201500,74
600700,199900,114
603000,201400,104
601200,201400,30
604700,201300,28
601200,201700,64
600700,199200,37
602300,203000,140
598800,197600,25
603900,201600,22
599600,200200,47
600100,198600,60
601000,199700,149
598300,201000,55
605000,197900,98
601000,200800,61
598200,199800,45
601100,201000,132
599600,199100,217
600300,199900,120
601600,201400,27
600900,199100,57
603700,198800,22
600500,201500,101
603500,201300,30
601300,199500,51
600600,201100,46
599900,198600,76
600900,199000,267
599400,199000,132
604600,198400,45
603800,200100,39
598300,197400,58
604100,199000,45
603700,201400,29
603300,201100,88
605400,198100,61
598400,197900,438
600400,199200,128
601900,200500,79
604600,197500,47
600100,199400,136
602700,202500,49
603900,199000,44
602100,200500,105
603100,201200,28
597900,199200,45
601000,200300,57
599500,199800,55
598300,198200,29
602400,199200,246
604600,200600,36
601200,200900,88
604800,198100,53
600100,200700,78
598200,197600,54
599200,202400,35
597900,196900,85
599000,199700,131
599600,202200,27
602700,199300,41
601300,197900,23
601500,203000,53
600600,199600,977
596100,199000,28
600000,202300,21
596400,199300,103
599800,199800,47
604600,196800,22
601600,203300,43
598700,197700,86
603600,198900,31
602300,202200,62
599200,200000,33
601100,201200,91
603500,198600,26
595800,198600,35
599700,199100,215
601000,201200,118
595900,199300,25
599700,198400,75
599400,202400,28
602500,202100,35
601600,202600,29
596000,198300,36
600900,201200,120
602300,201900,42
600100,201400,21
602700,203400,32
604700,197700,22
601700,200500,178
602800,202400,33
601300,199300,21
600800,198900,76
599500,202000,87
595900,199700,71
599800,198300,89
602200,199300,33
599400,198000,45
599500,200100,143
599300,198900,114
604900,197600,68
598000,199600,40
598900,199300,101
598200,198400,45
603400,198600,21
603800,198200,69
599000,198700,56
599100,197900,20
597800,199500,54
600100,199000,26
600300,198900,209
600000,201200,77
603900,198000,99
601200,197800,27
602200,198300,46
604700,197400,20
596900,198500,22
596600,199000,36
601500,200300,56
597200,200100,21
598300,199200,52
601800,200300,59
602600,200400,29
602600,199200,114
605100,198100,37
599800,200400,20
598200,196500,22
602500,200400,20
600000,197600,62
603500,197700,45
603600,198200,25
604400,200800,20
601400,200900,171
601000,199400,26
600300,199700,760
601900,201300,166
597700,196900,47
601500,202100,107
597600,199800,82
596600,199500,51
603500,200600,34
597800,199400,39
597100,198700,36
601500,200600,40
596100,199300,60
596700,198800,34
601000,200400,155
601300,203500,25
601800,200400,90
605000,197400,22
598600,200100,80
603300,198300,23
600500,199900,106
598600,199100,30
602200,202400,459
600600,201000,45
600500,201700,44
599100,197400,54
602500,202000,79
600100,198900,64
600800,199000,87
604100,200500,64
603300,200600,141
601200,198800,21
600900,199900,25
603100,202300,37
600000,197400,39
600700,198500,34
598300,196800,27
596500,200200,32
600200,200200,339
599800,198100,21
600900,202200,51
600700,200800,81
600900,197700,25
602300,202700,604
603500,199700,46
603900,200900,20
604200,196900,28
600200,201800,24
601300,201200,20
595600,197800,22
597100,199100,38
604700,200700,62
602800,200400,65
596300,199300,76
600800,200900,34
602300,203300,43
601300,199700,148
599600,198900,243
595500,199900,34
599400,198400,27
602400,203000,36
603300,197700,33
602900,198600,36
598100,199800,47
602500,199200,223
602300,198400,47
596600,198200,200
601000,199200,23
601100,202000,22
599600,199000,279
603600,201700,24
604600,198200,21
602200,198400,39
601800,203100,57
605100,197600,45
604900,197200,24
599400,199500,131
600400,199900,47
599800,198600,101
601500,203400,28
600500,200900,69
595600,199800,53
597300,198700,60
602600,200300,25
603500,200500,119
598400,198500,51
598600,198900,34
602000,202900,51
601100,202500,38
602700,199700,42
602400,198400,66
602100,201500,182
596900,199700,45
600800,201100,49
602000,201800,81
603900,202000,32
604500,196900,26
602700,203600,38
602900,200300,28
600700,201400,77
599900,201800,42
602500,201400,20
597400,199700,32
598900,200300,34
600500,201100,229
597900,199000,35
600000,199000,22
601100,197900,24
601900,202900,71
601200,203700,34
