x,y,score
602700,198600,88
598600,198700,29
600700,199000,33
598400,199700,25
600000,197800,27
605400,197900,65
602400,202800,51
599300,199900,20
597200,199000,23
596500,198800,29
596600,198900,54
600100,198800,108
600400,199300,98
602400,200700,27
596100,198000,139
595300,199500,34
603400,200600,97
602500,200800,82
600100,199300,41
602400,199700,20
603300,198400,93
597200,199400,46
601100,198900,58
600700,200300,134
602500,201000,31
601700,201600,34
599900,202400,28
603900,200400,85
598500,198100,44
599600,200700,31
603400,201200,81
597800,199900,22
599600,200000,183
601800,201500,67
600700,199900,71
603000,201400,54
601300,203400,21
601200,201400,25
601200,201700,115
600700,199200,44
602300,203000,42
598800,197600,35
599600,200200,51
600100,198600,45
601000,199700,165
605000,197900,90
601000,200800,39
598200,199800,30
601100,201000,116
599600,199100,158
600300,199900,124
595700,198100,24
601600,201400,23
600900,199100,66
603500,201300,34
601300,199500,33
600600,201100,90
599900,198600,87
600900,199000,290
599400,199000,136
604600,198400,41
603800,200100,29
601300,203100,24
604300,202200,20
598300,197400,52
603700,201400,21
603300,201100,79
605400,198100,84
598400,197900,655
600400,199200,130
601900,200500,85
604600,197500,23
600100,199400,118
602700,202500,65
602100,200500,154
603100,201200,29
597900,199200,48
599800,202800,26
601000,200300,62
599500,199800,32
598300,198200,34
605900,197700,24
602400,199200,167
604600,200600,23
600900,198700,39
601200,200900,76
604800,198100,52
600100,200700,78
598200,197600,39
599200,202400,30
597900,196900,73
599000,199700,192
602700,199300,45
601500,203000,52
600600,199600,844
596100,199000,32
596400,199300,109
599800,199800,57
601600,203300,69
598700,197700,79
603600,198900,22
602300,202200,36
599200,200000,37
601100,201200,104
603500,198600,40
595800,198600,34
599700,199100,234
601000,201200,54
595900,199300,27
599700,198400,87
602500,202100,63
596000,198300,33
600900,201200,56
602300,201900,31
601700,200500,172
602800,202400,35
600800,198900,96
599500,202000,53
595900,199700,73
599800,198300,96
602200,199300,36
599400,198000,35
599500,200100,149
599300,198900,116
604900,197600,50
598000,199600,39
598900,199300,90
603400,198600,23
603800,198200,33
599000,198700,51
599100,197900,22
597800,199500,43
600100,199000,39
600300,198900,165
600000,201200,24
603900,198000,36
601200,197800,30
602200,198300,42
604700,197400,37
596900,198500,29
596600,199000,46
600800,198500,26
601500,200300,57
598300,199200,42
601800,200300,72
602600,200400,38
602600,199200,132
605100,198100,37
599800,200400,34
602500,200400,26
600000,197600,47
603500,197700,51
601400,200900,185
601000,199400,34
600300,199700,817
601900,201300,295
597700,196900,44
601500,202100,65
597600,199800,63
596600,199500,43
603500,200600,35
604800,197400,24
597800,199400,58
597100,198700,38
601500,200600,54
596100,199300,65
596700,198800,25
601000,200400,160
601300,203500,21
601800,200400,132
598600,200100,64
603300,198300,34
600500,199900,134
602200,202400,226
600600,201000,79
599100,197400,38
602500,202000,64
600100,198900,66
600800,199000,83
604100,200500,46
603300,200600,163
600900,199900,36
603100,202300,43
600000,197400,39
600700,198500,50
596500,200200,21
600200,200200,172
600700,200800,81
600900,197700,25
602300,202700,178
603500,199700,66
603900,200900,26
602100,199300,22
604200,196900,24
600200,201800,20
595600,197800,33
604700,200700,42
602800,200400,104
596300,199300,84
600800,200900,36
601300,199700,170
599600,198900,252
595500,199900,25
599400,198400,35
602400,203000,32
603300,197700,22
602900,198600,37
598100,199800,50
602500,199200,215
602300,198400,22
596600,198200,115
599600,199000,197
604600,198200,25
602200,198400,39
601800,203100,54
605100,197600,42
604900,197200,31
599400,199500,166
600400,199900,69
599800,198600,115
601500,203400,65
600500,200900,54
595600,199800,52
597300,198700,38
602600,200300,23
603500,200500,112
598400,198500,35
602000,202900,27
601100,202500,33
602700,199700,82
602400,198400,31
602100,201500,157
596900,199700,33
600800,201100,38
602000,201800,79
603900,202000,24
602700,203600,23
602900,200300,31
599900,201800,27
602500,201400,26
602500,200000,27
598900,200300,38
600500,201100,237
597900,199000,21
600000,199000,28
601900,202900,44
603400,200400,36
602200,202600,52
599800,200100,62
600100,198400,26
599400,199600,262
601000,200900,61
604600,197700,27
604800,197300,29
595600,199600,21
595500,199800,79
598400,198700,41
600400,200200,51
603700,199900,40
598200,197700,39
601300,200700,59
599500,197900,31
600300,198100,41
603300,202600,33
600500,201800,23
601400,197700,29
599700,200300,65
598400,198900,35
601700,199400,21
602000,201300,318
605200,197700,42
601000,199800,157
600900,201000,43
602400,199800,20
597900,199400,23
603700,201800,27
600800,200600,30
602300,198600,33
601900,199500,47
600600,200500,150
599600,200400,190
596400,199800,65
601100,200400,79
600800,198000,34
595900,199600,22
595500,199700,39
601100,200700,36
598300,198300,35
599000,200100,62
600000,199300,36
601400,200700,26
601300,203700,24
601900,202000,123
600300,197600,33
601000,197500,41
596400,198500,30
596300,199500,76
599100,200500,102
596800,199500,142
598600,200000,63
604000,200800,31
600800,199400,51
600400,198100,57
597700,199800,20
603900,198100,38
597500,199500,37
598300,198600,25
598500,198400,20
599300,200400,111
599600,199200,151
595900,199800,68
604600,200800,30
603100,200500,103
602600,201300,28
601400,199900,36
596100,199500,31
596800,199200,25
599300,199200,158
603900,200200,56
600800,200500,166
597900,199900,25
605700,197600,25
598700,199600,106
600700,201800,25
603000,202500,60
600100,199600,1378
599500,199900,60
599200,197600,27
599900,200100,48
598600,199400,99
601400,199700,121
596600,198300,25
597400,199400,32
599000,197500,34
602100,201900,51
603700,202000,38
