x,y,score
602700,198600,101
601400,198800,23
598600,198700,25
600700,199000,30
598400,199700,30
600000,197800,30
605400,197900,62
602400,202800,56
599300,199900,27
597200,199000,28
596600,198900,56
600100,198800,114
600400,199300,104
596100,198000,141
595300,199500,35
603400,200600,100
602500,200800,70
600100,199300,48
603300,198400,104
597200,199400,35
601100,198900,64
600700,200300,107
602500,201000,50
601700,201600,32
603900,200400,80
598500,198100,46
599600,200700,38
603400,201200,77
599600,200000,188
601800,201500,71
600700,199900,59
603000,201400,45
601200,201400,28
601200,201700,114
600700,199200,46
602300,203000,62
598800,197600,29
599600,200200,57
600100,198600,50
601000,199700,165
598300,201000,21
605000,197900,97
601000,200800,42
598200,199800,30
601100,201000,140
599600,199100,153
600300,199900,131
595700,198100,26
598300,199700,23
601600,201400,28
600900,199100,62
603500,201300,49
601300,199500,25
600600,201100,100
599900,198600,87
600900,199000,284
599400,199000,146
604600,198400,37
603800,200100,35
601300,203100,20
598300,197400,38
603700,201400,24
603300,201100,81
605400,198100,97
598400,197900,673
600400,199200,102
601900,200500,80
604600,197500,28
600100,199400,90
602700,202500,64
602100,200500,135
597900,199200,42
599800,202800,22
601000,200300,42
599500,199800,39
598300,198200,33
605900,197700,20
602400,199200,172
604600,200600,24
600900,198700,51
601200,200900,71
604800,198100,74
600100,200700,84
598200,197600,53
599200,202400,36
597900,196900,81
599000,199700,196
602700,199300,25
601500,203000,54
600600,199600,792
596100,199000,35
596400,199300,107
599800,199800,54
601600,203300,74
598700,197700,70
603600,198900,20
602300,202200,38
599200,200000,30
601100,201200,100
603500,198600,37
595800,198600,38
599700,199100,246
601000,201200,58
595900,199300,36
599700,198400,79
602500,202100,72
596000,198300,43
600900,201200,55
602300,201900,31
601700,200500,174
602800,202400,39
600800,198900,98
599500,202000,46
595900,199700,74
599800,198300,95
602200,199300,29
599400,198000,32
599500,200100,133
599300,198900,138
604900,197600,50
598000,199600,59
598900,199300,91
598200,198400,29
603800,198200,26
599000,198700,65
597800,199500,52
600100,199000,39
600300,198900,79
600000,201200,23
601300,202900,22
603900,198000,43
601200,197800,28
602200,198300,42
604700,197400,26
596900,198500,34
596600,199000,30
600800,198500,37
601200,202600,20
601500,200300,56
598300,199200,45
601800,200300,85
602600,200400,45
599400,202700,20
602600,199200,138
599300,200700,26
605100,198100,39
599800,200400,36
602500,200400,21
600000,197600,55
603500,197700,50
604400,200800,25
601400,200900,175
601000,199400,28
600300,199700,810
601900,201300,260
597700,196900,41
601500,202100,66
597600,199800,59
596600,199500,42
603500,200600,38
604800,197400,34
597800,199400,35
604500,197200,22
597100,198700,39
601500,200600,84
596100,199300,77
596700,198800,31
601000,200400,178
601800,200400,129
598600,200100,62
603300,198300,23
600500,199900,127
598600,199100,30
602200,202400,249
600600,201000,87
599100,197400,42
602500,202000,83
600100,198900,45
598100,199500,20
600800,199000,98
604100,200500,41
603300,200600,147
601200,198800,20
600900,199900,39
603100,202300,38
600000,197400,36
600700,198500,53
596500,200200,27
600200,200200,222
600700,200800,73
600900,197700,24
602300,202700,228
603500,199700,64
603900,200900,25
602100,199300,25
604200,196900,24
600200,201800,24
601300,201200,20
595600,197800,39
597100,199100,20
604700,200700,51
602800,200400,112
596300,199300,102
600800,200900,38
601300,199700,137
599600,198900,247
595500,199900,20
599400,198400,41
602400,203000,31
603300,197700,27
602900,198600,31
598100,199800,45
602500,199200,190
602300,198400,29
596600,198200,107
601000,199200,22
599600,199000,212
604600,198200,23
601000,197600,20
602200,198400,34
601800,203100,48
605100,197600,39
604900,197200,26
599400,199500,173
599400,199900,20
600400,199900,66
599800,198600,109
601500,203400,68
600500,200900,50
595600,199800,57
597300,198700,27
603500,200500,91
598400,198500,40
598600,198900,25
602000,202900,22
601100,202500,36
602700,199700,124
602400,198400,34
602100,201500,144
596900,199700,38
600800,201100,55
602000,201800,88
603900,202000,24
602900,200300,32
600700,201400,22
599900,201800,21
602500,201400,33
602500,200000,26
598900,200300,41
600500,201100,257
597900,199000,27
600000,199000,22
601900,202900,39
603400,200400,45
602200,202600,47
599800,200100,52
600100,198400,22
599400,199600,236
601000,200900,63
604600,197700,35
604800,197300,41
595600,199600,23
595500,199800,75
601300,199900,21
598400,198700,44
601600,202300,23
600400,200200,57
603700,199900,51
598200,197700,41
601300,200700,49
599500,197900,22
600300,198100,29
603300,202600,43
600500,201800,22
601400,197700,38
598500,199600,24
599700,200300,58
598400,198900,38
602000,201300,294
605200,197700,39
601000,199800,137
600900,201000,47
602400,199800,30
597900,199400,28
603700,201800,25
600800,200600,28
602300,198600,37
601900,199500,39
600600,200500,146
599600,200400,209
596400,199800,55
601100,200400,100
595500,199700,40
601100,200700,33
598300,198300,39
599000,200100,65
600000,199300,37
601400,200700,26
601300,203700,20
601900,202000,129
600300,197600,44
601000,197500,43
596400,198500,32
596300,199500,92
599100,200500,96
596800,199500,137
598600,200000,65
604000,200800,37
600800,199400,59
600400,198100,38
597700,199800,20
603900,198100,36
603700,201300,20
597500,199500,31
598300,198600,25
598500,198400,24
599300,200400,124
599600,199200,193
595900,199800,64
604600,200800,33
603100,200500,99
601400,199900,22
602700,198300,24
596100,199500,33
596800,199200,30
599300,199200,191
603900,200200,63
600900,202000,26
595400,199800,20
600800,200500,169
597900,199900,28
605700,197600,26
598700,199600,110
600700,201800,25
603000,202500,63
600100,199600,1206
599500,199900,59
599200,197600,23
599900,200100,53
598600,199400,94
601400,199700,89
596600,198300,29
597400,199400,34
599000,197500,29
602100,201900,62
603700,202000,26
600000,197500,44
605900,197600,96
599800,197400,35
596200,199700,70
599400,198700,49
602200,200400,331
600900,197300,226
596200,199500,37
600300,198400,26
601600,201200,26
595700,199800,71
602100,201400,113
597800,196600,43
601900,201100,146
601600,199200,22
598700,197400,67
598300,197700,40
597300,198900,31
602800,201100,38
604000,202200,22
598600,198800,20
599400,198900,191
603700,200100,29
602900,202500,125
603500,201100,30
596100,199700,30
600500,200800,64
602100,200900,1848
598700,199400,145
600000,198500,24
599400,201500,27
600900,200600,39
599800,200500,61
602300,200500,77
599700,198800,414
598700,200200,155
600800,201800,150
604100,202000,27
596700,199400,102
602300,201100,21
599900,198900,41
600000,199900,163
601400,199600,71
600100,199800,796
596900,199400,46
601700,201500,23
601300,201000,64
596100,198700,60
597100,200000,38
604100,198100,33
602900,203300,24
597900,199300,43
599300,198200,34
602000,202700,35
604000,200900,20
597800,197000,26
603300,201500,65
599500,200500,86
603600,200700,31
600900,197200,22
596400,199200,39
602600,198400,122
598500,197400,21
602300,202500,154
599700,199700,68
601700,201800,789
599500,200300,44
601700,202100,77
601000,199600,248
599300,199100,71
600200,199600,696
601300,201300,29
599500,200400,44
596600,198700,33
596000,199700,63
600600,200900,81
600700,197400,21
604600,198300,37
599200,202300,27
599700,200100,85
603500,198400,46
601500,200000,21
602300,200400,117
598200,198700,32
602800,201500,87
599600,199700,46
602700,201400,28
603600,200400,71
602600,201000,38
596700,198700,58
599900,200500,54
597600,199200,157
602500,201600,124
602500,198700,23
602300,199400,38
602200,201500,39
601300,202100,83
601400,201400,45
605100,198000,81
598800,199800,44
598700,199800,23
600700,199300,32
597000,199000,27
597100,199200,35
599600,199800,21
599500,199600,141
596000,198800,41
604000,202000,34
598100,197400,23
600400,200800,82
599200,199300,262
604300,197000,26
601900,202400,53
596500,199700,28
602600,199300,47
595800,199800,85
600900,200700,31
599800,202700,31
601900,200400,99
599100,199400,89
595000,199300,108
599200,201000,23
598500,199500,68
601500,203100,83
603300,202500,46
599200,198300,29
598600,198300,30
600800,200100,20
600400,197500,45
598800,197700,32
602400,199400,56
600400,198300,30
602300,202800,67
600100,200200,78
603500,202500,43
600800,197500,47
600700,198600,51
604200,198100,21
605800,197700,30
597700,199200,234
595800,197900,57
597100,199800,31
596100,199800,52
604500,198300,21
602100,200700,288
599300,199400,124
599600,200100,61
596800,198700,67
602500,202200,56
598700,198000,32
601000,201300,56
596500,199600,30
598100,199100,24
601800,202300,42
600100,198700,89
599600,198300,44
603600,200600,28
596200,198900,78
601600,199100,47
600100,198100,34
603700,201900,25
602400,198500,42
599000,197700,34
599500,197700,45
601000,198600,23
600100,201300,21
598200,199700,27
605000,197000,67
597000,199100,26
603800,201000,69
598400,197200,31
597400,199100,43
602300,199000,114
603600,200800,29
597700,199400,37
596300,199800,79
600500,198800,48
598700,199200,57
596800,199100,34
601300,203900,26
598600,198000,48
601500,201100,31
601700,200700,65
597200,199700,20
602100,201600,90
605400,197800,50
600700,201200,24
604200,198000,32
598200,197800,107
600000,200200,49
599300,200100,102
604500,200800,28
599000,198800,44
601800,201900,696
598200,198800,24
603300,201200,81
596200,198200,84
602100,198300,42
604200,197900,76
600100,200100,81
595400,199500,28
599100,200300,27
604200,202200,28
595500,199500,22
596200,199900,70
598800,198900,21
599700,200400,103
599100,198400,27
599200,199200,144
603300,200900,83
603500,200100,20
597700,199100,91
599400,197900,26
598700,197900,53
596900,198700,99
599900,199700,888
599600,200300,68
602300,201800,30
602000,200900,491
603500,198800,43
600400,201600,21
600500,198100,22
602600,202500,49
600800,197400,54
601900,203200,48
600600,201900,23
600600,197700,20
599700,199400,497
597000,199200,32
600600,197600,77
595100,199500,157
596300,198900,114
599900,200400,32
602400,202000,21
601700,201400,21
602000,201900,56
602100,200800,1656
600600,198800,51
602200,199400,35
597100,199400,20
604000,198200,30
600600,199900,139
598400,199600,53
599200,198200,26
601700,203100,72
598300,198400,42
599200,198000,21
600400,198500,58
595600,197700,84
601900,200900,101
599400,199800,30
604500,198200,23
599600,200900,41
606100,197600,31
603500,198900,44
605000,197300,23
601600,203000,71
600600,198200,41
598800,199400,105
603200,201300,40
603900,200100,22
598300,197900,43
603900,198200,37
600200,201100,20
600500,200400,145
603700,200500,37
599800,198800,142
601000,200600,63
601800,202700,27
601900,198400,47
601600,199500,29
600100,197500,28
600700,199500,45
600500,200500,199
601400,201600,55
597900,196700,36
602200,201300,29
603000,200400,89
600800,197600,25
599100,199800,228
604100,200900,20
605000,197800,52
598300,197600,59
603700,200000,20
596200,199300,166
602400,201400,34
601600,201700,92
605200,198100,51
600700,202000,46
600500,197600,31
596200,198300,47
602000,199000,29
601800,200500,144
600900,200400,225
602400,202700,170
600100,202200,55
602600,201200,25
596700,199300,57
600300,200900,53
601200,197700,24
603500,201000,28
