x,y,score
602700,198600,99
601400,198800,24
598600,198700,26
600700,199000,34
598400,199700,27
600000,197800,38
605400,197900,65
602400,202800,57
599300,199900,24
597200,199000,28
596600,198900,64
600100,198800,118
600400,199300,104
596100,198000,126
595300,199500,40
603400,200600,92
602500,200800,70
600100,199300,48
603300,198400,107
597200,199400,45
601100,198900,61
600700,200300,110
602500,201000,44
601700,201600,34
599900,202400,22
603900,200400,81
598500,198100,41
599600,200700,32
603400,201200,75
599600,200000,191
601800,201500,70
600700,199900,66
603000,201400,56
601300,203400,21
601200,201400,26
601200,201700,115
600700,199200,45
602300,203000,51
598800,197600,30
599600,200200,55
600100,198600,54
601000,199700,145
605000,197900,95
601000,200800,43
598200,199800,28
601100,201000,139
599600,199100,143
600300,199900,121
595700,198100,22
598300,199700,30
601600,201400,31
600900,199100,63
600500,201500,20
603500,201300,46
601300,199500,21
600600,201100,96
599900,198600,78
600900,199000,279
599400,199000,140
604600,198400,40
603800,200100,33
601300,203100,22
604300,202200,23
598300,197400,42
603700,201400,23
603300,201100,88
605400,198100,97
598400,197900,658
600400,199200,95
601900,200500,89
604600,197500,20
600100,199400,113
602700,202500,67
602100,200500,165
603100,201200,26
597900,199200,48
599800,202800,24
601000,200300,46
599500,199800,38
598300,198200,33
605900,197700,23
602400,199200,165
604600,200600,22
600900,198700,47
601200,200900,79
604800,198100,71
600100,200700,90
598200,197600,58
599200,202400,38
597900,196900,80
599000,199700,176
602700,199300,28
602000,199400,22
601500,203000,46
600600,199600,711
596100,199000,39
596400,199300,112
599800,199800,61
601600,203300,73
598700,197700,72
603600,198900,22
602300,202200,45
599200,200000,31
601100,201200,99
603500,198600,39
595800,198600,41
599700,199100,248
601000,201200,69
595900,199300,34
599700,198400,76
602500,202100,83
596000,198300,40
600900,201200,70
602300,201900,33
602700,203400,23
601700,200500,167
602800,202400,38
600800,198900,87
599500,202000,49
595900,199700,78
599800,198300,91
602200,199300,35
599400,198000,35
599500,200100,120
599300,198900,143
604900,197600,41
598000,199600,49
598900,199300,95
598200,198400,31
599000,198700,62
599100,197900,26
597800,199500,47
600100,199000,37
600300,198900,79
600000,201200,24
603900,198000,50
601200,197800,25
602200,198300,38
604700,197400,26
596900,198500,35
596600,199000,28
600800,198500,40
601200,202600,20
601500,200300,60
598300,199200,42
604600,201800,22
601800,200300,91
602600,200400,43
599400,202700,21
602600,199200,138
599300,200700,29
605100,198100,42
599800,200400,31
600000,197600,51
603500,197700,53
604400,200800,26
601400,200900,173
601000,199400,26
600300,199700,755
601900,201300,230
597700,196900,36
601500,202100,62
597600,199800,56
596600,199500,46
603500,200600,31
597800,199400,40
604500,197200,24
597100,198700,32
601500,200600,85
596100,199300,78
596700,198800,30
601000,200400,176
