x,y,score
602700,198600,99
598600,198700,33
600700,199000,30
598400,199700,25
600000,197800,33
605400,197900,60
602400,202800,48
599300,199900,29
597200,199000,24
596500,198800,20
596600,198900,50
600100,198800,106
600400,199300,110
602400,200700,23
596100,198000,128
595300,199500,45
603400,200600,97
602500,200800,76
600100,199300,41
602400,199700,21
603300,198400,88
597200,199400,38
601100,198900,63
600700,200300,121
602500,201000,45
601700,201600,36
599900,202400,20
603900,200400,89
598500,198100,40
599600,200700,37
603400,201200,76
599600,200000,195
601800,201500,79
600700,199900,84
603000,201400,62
601200,201400,28
601200,201700,125
600700,199200,43
602300,203000,59
598800,197600,30
599600,200200,69
600100,198600,49
601000,199700,154
605000,197900,92
601000,200800,40
598200,199800,33
601100,201000,144
599600,199100,176
600300,199900,145
595700,198100,22
598300,199700,24
601600,201400,28
600900,199100,67
600500,201500,23
603500,201300,42
601300,199500,31
600600,201100,102
599900,198600,86
600900,199000,306
599400,199000,151
604600,198400,32
603800,200100,30
601300,203100,27
598300,197400,55
603300,201100,78
605400,198100,88
598400,197900,673
600400,199200,104
601900,200500,88
604600,197500,22
600100,199400,106
602700,202500,67
602100,200500,147
603100,201200,25
597900,199200,49
601000,200300,47
599500,199800,41
598300,198200,41
605900,197700,21
602400,199200,155
604600,200600,27
600900,198700,47
601200,200900,83
604800,198100,66
600100,200700,80
598200,197600,60
599200,202400,37
597900,196900,79
599000,199700,176
602700,199300,26
602000,199400,24
601500,203000,57
600600,199600,880
596100,199000,31
596400,199300,97
599800,199800,72
601600,203300,67
598700,197700,68
603600,198900,21
602300,202200,42
599200,200000,30
601100,201200,127
603500,198600,37
595800,198600,38
599700,199100,258
601000,201200,68
595900,199300,40
599700,198400,74
602500,202100,72
596000,198300,39
600900,201200,77
602300,201900,33
601700,200500,193
602800,202400,39
600800,198900,95
599500,202000,58
595900,199700,74
599800,198300,88
602200,199300,34
599400,198000,31
599500,200100,134
599300,198900,142
604900,197600,52
598000,199600,60
598900,199300,94
598200,198400,27
604400,201900,20
603800,198200,31
599000,198700,59
599100,197900,25
597800,199500,51
600100,199000,32
600300,198900,90
600000,201200,21
603900,198000,40
601200,197800,25
602200,198300,40
604700,197400,28
596900,198500,31
596600,199000,30
600800,198500,33
601500,200300,62
598300,199200,42
601800,200300,82
602600,200400,51
602600,199200,148
599300,200700,28
605100,198100,41
599800,200400,30
602500,200400,27
600000,197600,51
603500,197700,56
604400,200800,26
601400,200900,176
601000,199400,30
600300,199700,963
601900,201300,310
597700,196900,45
601500,202100,59
597600,199800,47
596600,199500,43
603500,200600,43
604800,197400,29
597800,199400,35
604500,197200,22
597100,198700,25
601500,200600,88
596100,199300,75
596700,198800,34
601000,200400,174
601800,200400,125
598600,200100,72
603300,198300,20
600500,199900,141
602200,202400,265
600600,201000,84
599100,197400,45
602500,202000,90
600100,198900,61
598100,199500,20
600800,199000,92
603300,202300,25
604100,200500,46
603300,200600,146
601200,198800,26
600900,199900,36
603100,202300,40
600000,197400,41
600700,198500,58
596500,200200,22
600200,200200,172
599800,198100,22
600700,200800,70
600900,197700,24
602300,202700,177
603500,199700,66
603900,200900,26
602100,199300,23
604200,196900,26
595600,197800,38
597100,199100,26
604700,200700,47
602800,200400,107
596300,199300,96
600800,200900,35
601300,199700,149
599600,198900,261
595500,199900,25
599400,198400,37
602400,203000,35
603300,197700,32
602900,198600,42
598100,199800,41
602500,199200,188
602300,198400,26
596600,198200,82
601000,199200,24
599600,199000,220
604600,198200,25
601000,197600,20
602200,198400,33
601800,203100,52
605100,197600,41
604900,197200,26
599400,199500,174
599400,199900,23
600400,199900,60
599800,198600,113
601500,203400,70
600500,200900,55
595600,199800,59
597300,198700,30
602600,200300,23
603500,200500,105
598400,198500,40
598600,198900,22
602000,202900,23
601100,202500,33
602700,199700,116
602400,198400,38
602100,201500,161
596900,199700,40
600800,201100,38
602000,201800,89
603900,202000,24
602900,200300,34
600700,201400,22
599900,201800,27
602500,201400,29
602500,200000,20
598900,200300,43
600500,201100,252
597900,199000,31
600000,199000,26
601900,202900,39
603400,200400,41
602200,202600,51
599800,200100,55
600100,198400,27
599400,199600,230
601000,200900,63
604600,197700,38
604800,197300,40
595600,199600,23
595500,199800,80
601300,199900,20
598400,198700,45
600400,200200,57
603700,199900,47
598200,197700,47
601300,200700,54
599500,197900,21
600300,198100,33
603300,202600,43
600500,201800,30
601400,197700,41
598500,199600,20
599700,200300,63
598400,198900,41
602000,201300,358
605200,197700,43
601000,199800,152
600900,201000,43
602400,199800,24
597900,199400,27
603700,201800,24
600800,200600,34
602300,198600,35
601900,199500,39
600600,200500,162
599600,200400,228
596400,199800,60
601100,200400,98
600800,198000,21
595500,199700,44
601100,200700,43
598300,198300,35
599000,200100,69
600000,199300,42
604500,198000,24
601400,200700,32
601900,202000,126
600300,197600,40
601000,197500,40
596400,198500,31
596300,199500,87
599100,200500,110
596800,199500,135
598600,200000,70
604000,200800,40
600800,199400,56
600400,198100,45
597700,199800,27
603900,198100,44
603700,201300,20
597500,199500,33
598300,198600,27
598500,198400,26
599300,200400,130
599600,199200,191
595900,199800,74
604600,200800,35
603100,200500,123
601400,199900,24
602700,198300,23
596100,199500,28
596800,199200,31
599300,199200,185
603900,200200,60
600800,200500,183
597900,199900,37
605700,197600,28
598700,199600,112
600700,201800,27
603000,202500,60
600100,199600,1306
599500,199900,53
599200,197600,27
599900,200100,56
598600,199400,84
601400,199700,104
596600,198300,29
597400,199400,32
599000,197500,30
602100,201900,50
603700,202000,31
600000,197500,41
605900,197600,90
599800,197400,35
596200,199700,62
599400,198700,48
602200,200400,342
600900,197300,219
596200,199500,36
600300,198400,26
601600,201200,26
595700,199800,74
602100,201400,125
597800,196600,41
601900,201100,153
602700,202900,23
598700,197400,65
598300,197700,39
597300,198900,27
602800,201100,68
604000,202200,23
598600,198800,26
604900,197400,20
599400,198900,198
596400,199100,21
603700,200100,32
602900,202500,121
603500,201100,33
596100,199700,27
600500,200800,74
602100,200900,2014
598700,199400,136
600000,198500,28
603000,201000,25
600900,200600,36
599800,200500,62
602300,200500,90
599700,198800,413
598700,200200,141
600800,201800,164
602600,201100,24
604100,202000,23
596700,199400,111
602300,201100,38
599900,198900,43
600000,199900,195
601400,199600,79
600100,199800,888
596900,199400,44
601700,201500,26
601300,201000,64
596100,198700,58
597100,200000,49
600600,202000,20
601600,202200,35
603800,198000,27
604100,198100,33
597900,199300,40
599300,198200,35
602000,202700,39
604000,200900,22
597800,197000,32
603500,199100,29
603300,201500,72
599500,200500,93
603600,200700,34
600900,197200,20
596400,199200,41
602600,198400,113
598500,197400,23
602300,202500,227
599700,199700,63
601700,201800,718
599500,200300,55
601700,202100,66
601000,199600,234
599300,199100,65
600200,199600,778
601300,201300,38
599500,200400,47
596600,198700,26
596000,199700,58
600600,200900,85
600700,197400,20
604600,198300,40
599200,202300,31
599700,200100,90
603500,198400,48
601500,200000,23
602300,200400,125
598200,198700,38
602800,201500,96
599600,199700,43
602700,201400,33
603600,200400,74
602600,201000,52
596700,198700,54
599900,200500,51
600800,200700,23
597600,199200,178
602500,201600,110
602300,199400,35
602200,201500,38
601300,202100,62
601400,201400,46
605100,198000,85
598800,199800,47
598700,199800,21
600700,199300,42
597100,199200,39
599500,199600,161
596000,198800,37
604000,202000,30
598100,197400,28
600400,200800,114
599200,199300,266
604300,197000,28
601900,202400,53
596500,199700,21
602600,199300,47
595800,199800,88
600900,200700,44
599800,202700,39
601900,200400,102
599100,199400,99
595000,199300,105
599200,201000,20
598500,199500,59
601500,203100,87
603300,202500,50
599200,198300,28
601900,198700,20
598600,198300,27
599000,201000,22
600800,200100,23
600400,197500,48
598800,197700,33
602400,199400,56
600400,198300,34
602300,202800,61
600100,200200,94
603500,202500,43
600800,197500,40
600700,198600,48
604200,198100,24
605800,197700,29
597700,199200,225
595800,197900,51
597100,199800,32
596100,199800,45
602100,200700,316
599300,199400,122
599600,200100,60
596800,198700,67
601600,198700,22
602500,202200,63
598700,198000,41
601000,201300,65
604300,196900,20
596500,199600,34
598100,199100,29
601800,202300,41
600100,198700,96
599600,198300,52
603600,200600,39
596200,198900,80
601600,199100,53
600100,198100,33
603700,201900,24
602400,198500,38
599000,197700,38
599500,197700,46
600100,201300,21
598200,199700,40
605000,197000,64
597000,199100,26
603800,201000,62
598400,197200,29
597400,199100,41
602300,199000,111
603600,200800,29
597700,199400,37
596300,199800,82
600500,198800,44
598700,199200,52
596800,199100,34
601300,203900,21
598600,198000,48
601500,201100,31
