x,y,score
598600,198700,53
604200,201400,24
600000,197800,43
598700,197300,30
597200,199000,34
596500,198800,25
596600,198900,52
600100,198800,47
600400,199300,32
596100,198000,58
603400,200600,32
602500,200800,39
603300,198400,48
597200,199400,47
601100,198900,23
600700,200300,129
601700,201600,22
603900,200400,151
604800,200800,26
598500,198100,22
599600,200700,28
603400,201200,40
603500,203100,33
599600,200000,47
601800,201500,57
600700,199900,57
600700,199200,23
602300,203000,24
599600,200200,61
600100,198600,32
601000,199700,77
598300,201000,20
605000,197900,47
601000,200800,71
601100,201000,119
599600,199100,88
600300,199900,57
600900,199100,29
600500,201500,22
601300,199500,34
600600,201100,28
599900,198600,50
600900,199000,120
599400,199000,65
604600,198400,34
603800,200100,46
598300,197400,64
603300,201100,50
605400,198100,36
604100,196800,24
598400,197900,109
600400,199200,74
601900,200500,66
604600,197500,23
600100,199400,22
602700,202500,25
603900,199000,22
602100,200500,47
603100,201200,23
597900,199200,51
601000,200300,26
598300,198200,31
602400,199200,198
604600,200600,71
601200,200900,71
604800,198100,21
600100,200700,70
598200,197600,39
599200,202400,43
597900,196900,54
599000,199700,28
599600,202200,50
600600,199600,306
596100,199000,38
596400,199300,82
603100,202900,26
598700,197700,31
603600,198900,24
599200,200000,23
601100,201200,136
603500,198600,29
595800,198600,35
599700,199100,62
601000,201200,80
599700,198400,48
599400,202400,29
596000,198300,29
600900,201200,54
602700,203400,30
604700,197700,21
601700,200500,71
602800,202400,33
600800,198900,23
599500,202000,75
595900,199700,66
599800,198300,50
602200,199300,41
599400,198000,86
599500,200100,130
599300,198900,89
604900,197600,43
598900,199300,81
598200,198400,20
603800,198200,28
599000,198700,66
597800,199500,66
600300,198900,51
603900,198000,35
601200,197800,21
602200,198300,79
596600,199000,48
601500,200300,58
598300,199200,55
601800,200300,29
599400,202700,20
602600,199200,77
599800,200400,24
600000,197600,98
601400,200900,173
601000,199400,28
600300,199700,195
601900,201300,39
597700,196900,54
601500,202100,23
596600,199500,39
603500,200600,23
597800,199400,42
601500,200600,27
596100,199300,70
596700,198800,29
601000,200400,92
601800,200400,51
598600,200100,30
600500,199900,52
602200,202400,112
600600,201000,27
599100,197400,46
600200,197100,25
602500,202000,23
598100,199500,26
600800,199000,37
604100,200500,112
603300,200600,52
603100,202300,40
600000,197400,54
600700,198500,37
600200,200200,73
605000,200400,23
600700,200800,65
600900,197700,27
602300,202700,84
604200,196900,38
601300,201200,27
597100,199100,32
604700,200700,67
596300,199300,65
600800,200900,49
601300,199700,91
599600,198900,113
595500,199900,48
599400,198400,37
603300,197700,23
602900,198600,23
602500,199200,126
602300,198400,59
596600,198200,99
599600,199000,129
602200,198400,42
