x,y,score
598600,198700,38
600000,197800,45
602400,202800,20
597200,199000,32
596600,198900,60
600100,198800,31
600400,199300,41
596100,198000,37
595300,199500,35
603400,200600,31
602500,200800,26
603300,198400,24
597200,199400,45
599700,202100,31
601100,198900,30
600700,200300,96
601700,201600,24
603900,200400,124
604800,200800,21
603400,201200,31
603500,203100,30
599600,200000,58
601800,201500,67
600700,199900,46
601200,201400,29
599600,200200,62
600100,198600,23
601000,199700,28
605000,197900,39
601000,200800,42
601100,201000,97
599600,199100,55
601600,201400,30
600900,199100,35
599900,198600,43
600900,199000,90
599400,199000,42
604600,198400,39
603800,200100,37
604300,202200,37
598300,197400,42
603300,201100,44
605400,198100,63
598400,197900,81
600400,199200,37
601900,200500,26
602100,200500,25
597900,199200,43
599800,202800,25
601000,200300,20
598300,198200,27
602400,199200,119
604600,200600,47
601200,200900,81
604800,198100,25
600100,200700,37
598200,197600,26
599200,202400,36
597900,196900,38
599600,202200,25
600600,199600,131
596100,199000,34
596400,199300,112
598700,197700,21
599200,200000,25
601100,201200,110
603500,198600,43
595800,198600,49
599700,199100,51
601000,201200,44
595900,199300,28
599700,198400,37
596000,198300,30
600900,201200,42
604800,200500,27
604300,201000,20
602700,203400,20
601700,200500,39
602800,202400,39
599500,202000,33
595900,199700,75
599800,198300,37
602200,199300,30
599400,198000,52
599500,200100,78
599300,198900,94
604900,197600,27
598000,199600,20
598900,199300,58
599000,198700,61
597800,199500,43
600300,198900,22
601200,197800,22
602200,198300,37
596600,199000,50
600800,198500,20
601500,200300,54
598300,199200,53
601800,200300,28
602600,199200,93
599800,200400,22
600000,197600,79
603500,197700,25
604400,200800,33
601400,200900,167
600300,199700,75
597700,196900,48
596600,199500,38
604500,197200,20
601500,200600,63
596100,199300,41
601000,200400,54
601800,200400,44
600500,199900,35
602200,202400,27
600600,201000,26
599100,197400,49
604100,200500,63
603300,200600,49
603100,202300,36
600000,197400,41
600700,198500,35
600200,200200,29
605000,200400,29
600700,200800,46
600900,197700,31
603900,200900,22
602100,199300,24
604200,196900,35
601300,201200,26
597100,199100,33
604700,200700,83
596300,199300,79
600800,200900,60
601300,199700,85
599600,198900,68
595500,199900,46
599400,198400,27
603300,197700,21
602900,198600,24
602500,199200,76
602300,198400,32
596600,198200,53
599600,199000,72
604600,198200,21
602200,198400,30
599400,199500,30
599800,198600,71
600500,200900,31
595600,199800,84
603500,200500,81
598400,198500,41
601100,202500,39
602400,198400,33
602100,201500,68
596900,199700,24
600800,201100,37
