x,y,score
602700,198600,104
601400,198800,25
598600,198700,25
600700,199000,23
598400,199700,27
600000,197800,27
605400,197900,62
602400,202800,53
599300,199900,28
597200,199000,28
596500,198800,22
596600,198900,57
600100,198800,117
600400,199300,104
596100,198000,142
595300,199500,36
603400,200600,98
602500,200800,75
600100,199300,46
603300,198400,103
597200,199400,34
601100,198900,60
600700,200300,120
602500,201000,48
601700,201600,29
603900,200400,81
598500,198100,46
599600,200700,35
603400,201200,75
599600,200000,193
601800,201500,77
600700,199900,69
603000,201400,38
601300,203400,20
601200,201400,28
601200,201700,111
600700,199200,42
602300,203000,40
598800,197600,27
599600,200200,58
600100,198600,54
601000,199700,167
605000,197900,99
601000,200800,44
598200,199800,27
601100,201000,133
599600,199100,159
600300,199900,137
595700,198100,23
598300,199700,29
601600,201400,29
600900,199100,66
603500,201300,47
600800,198300,20
601300,199500,25
600600,201100,96
599900,198600,82
600900,199000,279
599400,199000,131
604600,198400,32
603600,201400,21
603800,200100,34
601300,203100,24
598300,197400,39
603700,201400,27
603300,201100,79
605400,198100,99
598400,197900,665
600400,199200,108
601900,200500,87
600100,199400,93
602700,202500,63
602100,200500,139
597900,199200,36
599800,202800,21
601000,200300,43
599500,199800,37
598300,198200,33
605900,197700,21
602400,199200,174
604600,200600,24
600900,198700,51
601200,200900,81
604800,198100,74
600100,200700,85
598200,197600,53
599200,202400,39
597900,196900,77
599000,199700,168
602700,199300,24
601500,203000,57
600600,199600,852
596100,199000,35
596400,199300,95
599800,199800,55
601600,203300,72
598700,197700,72
602300,202200,27
599200,200000,31
601100,201200,109
603500,198600,38
595800,198600,41
599700,199100,232
601000,201200,58
595900,199300,33
599700,198400,78
602500,202100,72
596000,198300,39
600900,201200,73
602300,201900,21
601700,200500,174
602800,202400,40
600800,198900,94
599500,202000,45
595900,199700,74
599800,198300,99
602200,199300,29
599400,198000,31
599500,200100,140
599300,198900,139
604900,197600,54
598000,199600,56
598900,199300,94
604400,201900,20
603400,198600,22
603800,198200,23
599000,198700,59
597800,199500,48
600100,199000,35
600300,198900,80
600000,201200,31
601300,202900,23
603900,198000,45
601200,197800,30
602200,198300,42
604700,197400,20
596900,198500,41
596600,199000,33
600800,198500,36
601200,202600,23
601500,200300,56
598300,199200,43
601800,200300,86
602600,200400,40
599400,202700,20
602600,199200,137
599300,200700,28
605100,198100,44
599800,200400,32
602500,200400,20
600000,197600,54
603500,197700,56
604400,200800,25
601400,200900,173
601000,199400,28
600300,199700,830
601900,201300,269
597700,196900,44
601500,202100,63
597600,199800,61
596600,199500,38
603500,200600,38
604800,197400,28
597800,199400,41
604500,197200,23
597100,198700,30
601500,200600,82
596100,199300,77
596700,198800,31
601000,200400,181
601800,200400,125
598600,200100,61
603300,198300,26
600500,199900,132
602200,202400,234
600600,201000,88
599100,197400,48
602500,202000,60
600100,198900,46
598100,199500,20
600800,199000,101
604100,200500,41
603300,200600,144
601200,198800,23
600900,199900,33
603100,202300,36
600000,197400,36
600700,198500,59
596500,200200,35
600200,200200,159
600700,200800,68
600900,197700,22
602300,202700,150
603500,199700,64
603900,200900,27
602100,199300,25
604200,196900,22
600200,201800,29
601300,201200,21
595600,197800,34
597100,199100,22
604700,200700,47
602800,200400,111
596300,199300,98
600800,200900,42
601300,199700,138
599600,198900,252
595500,199900,20
599400,198400,38
602400,203000,28
603300,197700,28
602900,198600,32
598100,199800,37
602500,199200,181
602300,198400,28
596600,198200,113
601000,199200,22
599600,199000,206
604600,198200,25
601000,197600,22
602200,198400,36
601800,203100,57
605100,197600,37
604900,197200,21
599400,199500,178
599400,199900,20
600400,199900,58
599800,198600,115
601500,203400,68
600500,200900,53
595600,199800,56
597300,198700,29
603500,200500,99
598400,198500,45
598600,198900,26
602000,202900,27
601100,202500,39
602700,199700,127
602400,198400,34
602100,201500,145
596900,199700,37
600800,201100,48
602000,201800,89
603900,202000,26
602700,203600,27
602900,200300,29
602500,201400,24
602500,200000,24
598900,200300,42
600500,201100,249
597900,199000,31
600000,199000,20
601900,202900,39
603400,200400,45
602200,202600,52
599800,200100,56
600100,198400,28
599400,199600,235
601000,200900,61
604600,197700,41
604800,197300,30
595600,199600,27
595500,199800,75
598400,198700,42
600400,200200,56
603700,199900,48
598200,197700,43
601300,200700,51
599500,197900,22
600300,198100,30
603300,202600,40
600500,201800,37
601400,197700,37
598500,199600,24
599700,200300,57
598400,198900,40
602000,201300,293
605200,197700,45
601000,199800,148
600900,201000,50
602400,199800,23
597900,199400,31
603700,201800,25
600800,200600,32
602300,198600,35
601900,199500,41
600600,200500,146
599600,200400,215
596400,199800,58
601100,200400,104
595500,199700,40
601100,200700,33
598300,198300,36
599000,200100,64
600000,199300,41
604500,198000,20
601400,200700,28
601900,202000,121
600300,197600,43
601000,197500,45
596400,198500,35
596300,199500,88
599100,200500,110
596800,199500,134
598600,200000,56
604000,200800,36
600800,199400,60
600400,198100,42
597700,199800,21
603900,198100,29
603700,201300,23
597500,199500,25
598300,198600,27
598500,198400,23
599300,200400,115
599600,199200,181
595900,199800,66
604600,200800,36
603100,200500,104
601400,199900,25
602700,198300,21
596100,199500,32
596800,199200,31
599300,199200,192
603900,200200,61
600800,200500,178
597900,199900,29
605700,197600,27
598700,199600,108
600700,201800,28
603000,202500,61
600100,199600,1104
599500,199900,69
599200,197600,24
599900,200100,54
598600,199400,90
601400,199700,93
596600,198300,30
597400,199400,36
599000,197500,32
602100,201900,62
603700,202000,29
600000,197500,44
605900,197600,84
599800,197400,32
596200,199700,65
599400,198700,49
602200,200400,335
600900,197300,222
596200,199500,34
600300,198400,24
601600,201200,24
595700,199800,63
602100,201400,109
597800,196600,41
601900,201100,156
598700,197400,67
598300,197700,46
602800,201100,46
604000,202200,21
598600,198800,25
599400,198900,184
596400,199100,23
603700,200100,32
602900,202500,127
603500,201100,29
596100,199700,30
600500,200800,64
602100,200900,1951
598700,199400,142
600000,198500,25
599400,201500,23
600900,200600,33
599800,200500,63
602300,200500,84
599700,198800,426
598700,200200,160
600800,201800,137
604100,202000,23
596700,199400,108
602300,201100,20
599900,198900,39
600000,199900,161
597600,199000,22
601400,199600,77
600100,199800,830
596900,199400,39
601700,201500,25
601300,201000,64
596100,198700,59
597100,200000,58
600600,202000,24
601600,202200,24
603800,198000,23
604100,198100,39
597900,199300,46
599300,198200,38
602000,202700,43
604000,200900,20
597800,197000,27
603500,199100,23
603300,201500,65
599500,200500,88
603600,200700,32
600900,197200,22
596400,199200,41
602600,198400,122
598500,197400,20
602300,202500,185
599700,199700,61
601700,201800,755
599500,200300,43
601700,202100,72
601000,199600,238
599300,199100,68
600200,199600,715
601300,201300,27
599500,200400,49
596600,198700,29
596000,199700,62
600600,200900,76
604600,198300,39
599200,202300,27
599700,200100,85
603500,198400,44
601500,200000,23
602300,200400,109
598200,198700,32
602800,201500,85
599600,199700,40
602700,201400,41
602000,203100,24
603600,200400,73
602600,201000,44
596700,198700,60
599900,200500,53
597600,199200,166
602500,201600,95
602500,198700,28
602300,199400,43
602200,201500,36
601300,202100,87
601400,201400,46
605100,198000,83
598800,199800,45
598700,199800,22
600700,199300,34
597000,199000,25
597100,199200,35
599600,199800,22
599500,199600,148
596000,198800,38
604000,202000,33
598100,197400,25
600400,200800,77
599200,199300,259
604300,197000,28
601900,202400,50
596500,199700,23
602600,199300,43
595800,199800,81
600900,200700,29
599800,202700,33
601900,200400,98
598700,198800,20
599100,199400,96
595000,199300,104
599200,201000,24
598500,199500,65
601500,203100,90
603300,202500,46
599200,198300,31
598600,198300,29
600800,200100,20
600400,197500,57
598800,197700,27
602400,199400,51
600400,198300,33
602300,202800,58
600100,200200,73
603500,202500,41
600800,197500,43
600700,198600,52
604200,198100,21
605800,197700,30
597700,199200,243
595800,197900,54
597100,199800,27
596100,199800,48
604500,198300,21
602100,200700,294
599300,199400,120
599600,200100,60
596800,198700,67
601600,198700,22
602500,202200,58
599500,201500,22
598700,198000,37
601000,201300,53
604300,196900,20
596500,199600,34
598100,199100,20
601800,202300,46
600100,198700,90
599600,198300,48
603600,200600,29
596200,198900,81
601600,199100,43
600100,198100,35
603700,201900,29
602400,198500,42
599000,197700,32
599500,197700,47
601000,198600,22
598200,199700,35
605000,197000,58
597000,199100,28
603800,201000,68
598400,197200,28
597400,199100,44
602300,199000,122
603600,200800,34
597700,199400,42
596300,199800,78
600500,198800,44
598700,199200,50
596800,199100,33
601300,203900,24
598600,198000,50
601500,201100,32
601700,200700,59
602100,201600,88
605400,197800,47
600700,201200,21
604200,198000,32
598200,197800,109
600000,200200,44
599300,200100,106
604500,200800,27
599000,198800,44
601800,201900,692
604700,198300,21
598200,198800,24
603300,201200,79
596200,198200,82
602100,198300,42
604200,197900,73
600100,200100,83
595400,199500,24
599100,200300,27
604200,202200,26
596200,199900,68
598800,198900,22
599700,200400,104
599100,198400,27
599200,199200,141
603300,200900,85
603500,200100,24
597700,199100,83
599400,197900,27
598700,197900,60
596900,198700,99
599900,199700,859
599600,200300,59
602300,201800,27
602000,200900,516
603500,198800,43
600400,201600,22
600500,198100,26
602600,202500,50
600800,197400,54
601900,203200,33
600600,201900,32
600600,197700,24
604600,197800,20
599700,199400,443
597000,199200,25
600600,197600,78
604400,197200,21
595100,199500,165
596300,198900,111
599900,200400,31
602400,202000,35
601700,201400,23
602000,201900,54
602100,200800,1714
600600,198800,58
602200,199400,36
597100,199400,24
604000,198200,22
600600,199900,129
598400,199600,54
599200,198200,26
599000,202400,21
601700,203100,67
598300,198400,35
599200,198000,23
600400,198500,53
595600,197700,81
601900,200900,108
599400,199800,33
604500,198200,24
599600,200900,44
606100,197600,27
603500,198900,32
605000,197300,24
601600,203000,73
600600,198200,45
598800,199400,104
603200,201300,37
603900,200100,21
598300,197900,38
603900,198200,41
600200,201100,21
600500,200400,134
603700,200500,35
599800,198800,148
601000,200600,58
601800,202700,26
601900,198400,46
601600,199500,24
600100,197500,24
600700,199500,47
600500,200500,201
601400,201600,59
597900,196700,35
602200,201300,30
603000,200400,98
600800,197600,28
599100,199800,234
605000,197800,50
598300,197600,63
596200,199300,164
602400,201400,37
601600,201700,82
605200,198100,56
600700,202000,38
600500,197600,31
596200,198300,47
602000,199000,36
601800,200500,151
600900,200400,217
602400,202700,170
600100,202200,54
602600,201200,27
596700,199300,61
600300,200900,49
601200,197700,23
603500,201000,29
596700,200000,21
602000,202100,93
602400,199300,74
600200,200500,207
598600,198400,20
603200,201400,62
603500,198700,34
600400,200500,231
598500,199000,30
603900,198300,25
600600,201800,41
604800,197500,87
597800,199200,192
597000,199800,164
602700,202700,84
602600,202600,75
604800,197900,32
598400,197500,60
604100,200400,24
603000,202800,23
599300,197800,97
597500,199600,50
596000,199800,86
602800,200300,34
601700,198900,22
604100,201800,20
604700,200600,49
601900,198900,24
600900,201300,38
600700,200700,67
601600,201000,110
596400,199400,66
595200,199600,30
596000,198500,86
601400,199800,92
596700,199200,37
602300,202400,79
602500,202800,80
600900,199400,86
599500,201900,21
603800,203100,22
602000,201000,384
597300,198800,25
600200,199800,650
601500,200800,71
599700,201600,21
598000,196500,21
600300,198800,137
599200,197800,51
599100,200600,123
599300,200000,36
600200,199900,393
599000,199400,76
596100,199400,51
606000,197700,26
603500,200300,32
600900,198900,185
603600,200000,30
601000,197300,160
597700,199600,76
600200,198000,36
597600,199400,46
602100,201000,452
602500,199800,87
598300,199000,54
602800,198800,99
604200,200800,24
597100,199700,40
595200,199200,25
604100,200800,33
602600,200600,43
596200,198700,93
602600,203300,22
600700,200100,64
602100,202300,53
603200,198300,20
598600,197900,130
603500,201600,26
601600,200300,48
598200,197000,69
603800,200600,35
598000,196800,23
605700,197800,21
601000,202600,30
603300,200700,73
600300,197700,23
603700,201000,27
598900,199600,283
602400,201900,49
602300,201400,43
601900,198300,30
600500,199100,58
600800,201400,130
602800,203700,36
603800,201100,39
596200,198600,52
600300,199600,845
599900,197400,36
596500,199400,85
601400,200400,58
597900,197200,26
602800,198700,30
602500,199500,66
600400,199500,573
597400,199200,45
600300,198500,51
595600,199700,30
595900,197900,74
597700,196700,53
602600,202100,59
603200,202400,71
598900,197900,109
597000,199900,63
601500,201400,66
597300,199100,20
599000,199200,169
603000,198300,38
600400,200400,241
598300,199600,45
596400,199000,27
601000,199500,115
601800,202400,30
596100,198900,56
600500,198500,45
601100,203200,21
601200,199700,274
601100,199700,230
598400,197400,20
602500,201200,23
599400,199100,177
601300,201800,52
596700,199000,26
603000,197300,44
598000,199700,60
603900,198500,33
600500,199200,55
599200,198500,40
603200,198400,24
596900,198900,26
597600,199100,84
600200,197600,27
597700,199500,52
598300,198800,42
603700,198200,31
603000,203400,26
597300,199000,33
595100,199200,27
601900,201000,139
599500,197800,21
602300,201500,53
601000,201500,41
599300,200500,162
596900,200100,22
605300,198000,126
596500,198100,44
604700,201700,28
595700,197800,88
596200,198100,177
602000,200600,107
601600,200900,79
601500,203200,95
598400,198000,82
601400,201000,60
601600,200600,86
600900,199800,96
598600,200800,20
599400,198500,20
599600,198500,56
604400,198000,26
600700,200000,60
601900,200600,63
602300,200300,137
