x,y,score
602700,198600,59
598600,198700,40
600700,199000,32
598400,199700,24
600000,197800,40
605400,197900,47
602400,202800,56
599300,199900,24
597200,199000,29
596500,198800,38
596600,198900,48
600100,198800,111
600400,199300,110
602400,200700,24
596100,198000,156
595300,199500,27
603400,200600,75
602500,200800,81
600100,199300,34
602400,199700,24
603300,198400,119
597200,199400,46
597300,199700,23
601100,198900,52
600700,200300,132
602500,201000,26
601700,201600,32
599900,202400,22
603900,200400,89
604800,200800,27
598500,198100,44
599600,200700,24
603400,201200,68
599600,200000,155
601800,201500,77
600700,199900,106
603000,201400,55
601200,201400,30
601200,201700,90
600700,199200,44
602300,203000,70
598800,197600,24
599600,200200,52
600100,198600,51
601000,199700,165
598300,201000,48
605000,197900,94
601000,200800,58
598200,199800,36
601100,201000,130
599600,199100,177
600300,199900,109
601600,201400,26
600900,199100,47
600500,201500,71
603500,201300,34
601300,199500,47
600600,201100,57
599900,198600,69
600900,199000,273
599400,199000,129
604600,198400,47
603800,200100,28
598300,197400,51
604100,199000,25
603700,201400,24
603300,201100,65
605400,198100,73
598400,197900,559
600400,199200,136
601900,200500,81
604600,197500,27
600100,199400,137
602700,202500,63
601600,197900,20
603900,199000,33
602100,200500,143
603100,201200,28
597900,199200,42
599800,202800,23
601000,200300,48
599500,199800,42
598300,198200,42
602400,199200,223
604600,200600,31
600900,198700,22
601200,200900,76
604800,198100,58
600100,200700,64
598200,197600,57
599200,202400,28
597900,196900,73
599000,199700,176
599600,202200,22
602700,199300,45
601300,197900,23
601500,203000,52
600600,199600,869
596100,199000,30
596400,199300,96
599800,199800,33
604600,196800,22
601600,203300,51
598700,197700,82
602300,202200,47
599200,200000,36
601100,201200,95
603500,198600,30
595800,198600,32
599700,199100,223
601000,201200,95
595900,199300,33
599700,198400,70
602500,202100,56
601600,202600,24
596000,198300,32
600900,201200,90
602300,201900,42
602700,203400,21
601700,200500,174
602800,202400,39
600800,198900,91
599500,202000,74
595900,199700,80
599800,198300,83
602200,199300,34
599400,198000,38
599500,200100,143
599300,198900,109
604900,197600,66
598000,199600,35
598900,199300,91
598200,198400,25
603800,198200,55
599000,198700,60
599100,197900,21
597800,199500,55
600100,199000,31
600300,198900,216
600000,201200,65
603900,198000,72
601200,197800,26
602200,198300,41
604700,197400,27
596900,198500,33
596600,199000,35
600800,198500,21
601500,200300,48
598300,199200,36
601800,200300,58
602600,200400,32
602600,199200,119
605100,198100,39
599800,200400,29
602500,200400,20
600000,197600,49
603500,197700,45
603600,198200,27
601400,200900,169
601000,199400,26
600300,199700,805
601900,201300,177
597700,196900,43
601500,202100,113
597600,199800,73
596600,199500,53
603500,200600,28
597800,199400,58
604500,197200,21
597100,198700,25
601500,200600,51
596100,199300,68
596700,198800,38
601000,200400,155
601300,203500,28
601800,200400,105
