x,y,score
602700,198600,100
601400,198800,26
598600,198700,30
600700,199000,25
598400,199700,24
600000,197800,32
605400,197900,63
602400,202800,54
599300,199900,23
597200,199000,27
596500,198800,22
596600,198900,58
600100,198800,112
600400,199300,105
602400,200700,25
596100,198000,148
595300,199500,36
603400,200600,100
602500,200800,75
600100,199300,54
603300,198400,94
597200,199400,34
601100,198900,69
600700,200300,125
602500,201000,43
601700,201600,38
599900,202400,20
603900,200400,81
598500,198100,46
599600,200700,36
603400,201200,69
599600,200000,191
601800,201500,75
600700,199900,72
603000,201400,44
599100,201100,20
601200,201400,30
601200,201700,122
600700,199200,46
602300,203000,62
598800,197600,28
599600,200200,60
600100,198600,53
601000,199700,166
605000,197900,97
601000,200800,47
598200,199800,29
601100,201000,135
599600,199100,157
600300,199900,141
595700,198100,21
598300,199700,28
601600,201400,28
600900,199100,71
603500,201300,42
601300,199500,32
600600,201100,105
599900,198600,84
600900,199000,301
599400,199000,162
604600,198400,28
603800,200100,31
601300,203100,28
598300,197400,51
603700,201400,26
603300,201100,78
605400,198100,95
598400,197900,669
600400,199200,108
601900,200500,88
604600,197500,21
600100,199400,99
602700,202500,63
602100,200500,144
603100,201200,25
597900,199200,48
601000,200300,51
599500,199800,42
598300,198200,34
605900,197700,22
602400,199200,152
604600,200600,25
600900,198700,50
601200,200900,75
604800,198100,68
600100,200700,82
598200,197600,55
599200,202400,42
597900,196900,77
599000,199700,181
602700,199300,20
602000,199400,20
601500,203000,60
600600,199600,809
596100,199000,32
596400,199300,96
599800,199800,59
601600,203300,69
598700,197700,67
602300,202200,37
599200,200000,32
601100,201200,118
603500,198600,38
595800,198600,40
599700,199100,244
601000,201200,62
595900,199300,34
599700,198400,80
602500,202100,77
596000,198300,40
600900,201200,75
602300,201900,30
601700,200500,189
602800,202400,42
600800,198900,95
599500,202000,49
595900,199700,68
599800,198300,102
602200,199300,31
599400,198000,32
599500,200100,132
599300,198900,139
604900,197600,47
598000,199600,55
598900,199300,98
598200,198400,24
604400,201900,20
603800,198200,29
599000,198700,63
599100,197900,20
597800,199500,39
600100,199000,35
600300,198900,85
603900,198000,41
601200,197800,24
602200,198300,42
604700,197400,27
596900,198500,39
596600,199000,28
600800,198500,38
601500,200300,67
598300,199200,42
601800,200300,84
602600,200400,48
599400,202700,21
602600,199200,137
599300,200700,27
605100,198100,42
599800,200400,31
602500,200400,24
600000,197600,50
603500,197700,53
604400,200800,24
601400,200900,184
601000,199400,33
600300,199700,855
601900,201300,290
597700,196900,43
601500,202100,45
597600,199800,56
