x,y,score
602700,198600,43
598600,198700,50
598400,199700,24
600000,197800,46
605400,197900,62
602400,202800,49
599300,199900,22
597200,199000,40
596500,198800,23
596600,198900,66
600100,198800,51
600400,199300,56
602400,200700,28
596100,198000,79
595300,199500,44
603400,200600,54
602500,200800,75
602400,199700,29
603300,198400,73
597200,199400,49
599700,202100,30
601100,198900,50
600700,200300,96
602500,201000,45
601700,201600,37
599900,202400,20
603900,200400,108
598500,198100,27
599600,200700,25
603400,201200,56
603500,203100,31
599600,200000,82
601800,201500,91
600700,199900,58
603000,201400,33
600200,201400,20
601200,201400,31
604700,201300,26
601200,201700,39
602300,203000,64
598800,197600,20
599600,200200,74
603100,203100,20
600100,198600,45
601000,199700,54
605000,197900,54
601000,200800,45
598200,199800,34
601100,201000,107
599600,199100,100
600300,199900,45
601600,201400,37
600900,199100,45
603700,198800,53
600500,201500,32
603500,201300,23
601300,199500,23
600600,201100,37
599900,198600,66
600900,199000,120
599400,199000,81
604600,198400,43
603600,201400,22
603800,200100,40
604300,202200,35
598300,197400,61
603700,201400,29
603300,201100,92
605400,198100,79
598400,197900,163
600400,199200,50
601900,200500,51
604600,197500,39
600100,199400,39
602700,202500,29
603900,199000,33
602100,200500,49
603100,201200,46
597900,199200,56
599800,202800,26
601000,200300,35
599500,199800,30
598300,198200,34
602400,199200,233
604600,200600,49
601200,200900,88
604800,198100,49
600100,200700,77
598200,197600,53
599200,202400,40
597900,196900,53
599000,199700,64
599600,202200,20
602700,199300,28
602000,199400,20
601500,203000,28
600600,199600,301
596100,199000,36
596400,199300,109
599800,199800,42
601600,203300,31
598700,197700,24
603600,198900,36
602300,202200,32
599200,200000,26
595700,199900,23
601100,201200,125
603500,198600,40
595800,198600,48
599700,199100,105
601000,201200,65
595900,199300,37
599700,198400,45
602500,202100,43
596000,198300,29
600900,201200,69
604800,200500,25
602300,201900,38
602700,203400,21
604700,197700,30
601700,200500,108
602800,202400,43
600800,198900,33
599500,202000,54
595900,199700,78
599800,198300,52
602200,199300,36
599400,198000,48
599500,200100,89
599300,198900,115
604900,197600,40
598000,199600,36
598900,199300,92
598200,198400,29
603800,198200,34
599000,198700,66
599100,197900,25
597800,199500,55
600300,198900,35
600000,201200,21
603900,198000,42
601200,197800,26
602200,198300,46
604700,197400,37
596900,198500,32
596600,199000,48
600800,198500,25
601500,200300,84
598300,199200,56
601800,200300,46
602600,200400,40
599400,202700,22
602600,199200,129
599800,200400,21
602500,200400,21
600000,197600,82
603500,197700,31
604400,200800,40
601400,200900,189
600300,199700,183
601900,201300,67
597700,196900,54
601500,202100,57
597600,199800,62
596600,199500,54
603500,200600,26
597800,199400,42
604500,197200,20
597100,198700,33
601500,200600,75
596100,199300,53
601000,200400,80
601300,203500,22
601800,200400,83
595800,198700,21
598600,200100,65
603300,198300,29
600500,199900,60
602200,202400,349
600600,201000,47
600500,201700,32
599100,197400,54
602500,202000,71
600100,198900,22
600800,199000,43
604100,200500,58
603300,200600,77
600900,199900,22
603100,202300,34
600000,197400,50
600700,198500,41
596500,200200,36
600200,200200,153
599800,198100,28
605000,200400,30
600900,202200,24
600700,200800,65
600900,197700,36
602300,202700,204
603500,199700,51
603900,200900,25
602100,199300,26
604200,196900,33
600200,201800,21
601300,201200,29
595600,197800,29
597100,199100,32
604700,200700,75
602800,200400,41
596300,199300,115
600800,200900,75
601300,199700,91
599600,198900,129
595500,199900,31
599400,198400,41
602400,203000,30
603300,197700,39
602900,198600,35
598100,199800,24
602500,199200,131
602300,198400,35
596600,198200,99
599600,199000,149
604600,198200,23
602200,198400,35
601800,203100,45
605100,197600,55
604900,197200,29
599400,199500,64
600400,199900,21
599800,198600,94
600500,200900,49
595600,199800,71
597300,198700,36
603500,200500,135
598400,198500,45
602000,202900,35
601100,202500,41
602400,198400,41
602100,201500,121
596900,199700,35
600800,201100,39
602000,201800,50
603900,202000,30
604500,196900,27
602700,203600,27
600700,201400,23
599900,201800,23
602500,201400,30
598900,200300,53
600500,201100,111
597900,199000,22
601100,197900,21
601900,202900,56
603400,200400,66
602200,202600,43
599800,200100,29
600100,198400,23
599400,199600,128
601000,200900,77
604600,197700,47
603900,199900,23
599800,202300,24
604800,197300,41
595600,199600,23
595500,199800,87
598400,198700,49
601000,202500,32
600400,200200,25
603700,199900,47
598200,197700,41
601300,200700,52
599500,197900,26
600300,198100,43
603300,202600,40
600500,201800,51
601400,197700,35
599700,200300,56
598400,198900,64
601700,199400,20
602000,201300,62
605200,197700,66
601000,199800,58
600900,201000,71
600800,200600,25
602300,198600,27
601900,199500,46
600600,200500,112
599600,200400,185
596400,199800,47
601100,200400,81
595900,199600,25
595500,199700,46
601100,200700,54
598300,198300,43
599000,200100,79
601400,200700,35
601300,203700,25
601900,202000,49
600300,197600,40
596300,199500,50
599100,200500,95
601600,199000,30
596800,199500,189
598600,200000,58
604000,200800,37
600400,198100,70
603900,198100,43
603700,201300,24
604500,197800,20
597500,199500,47
598300,198600,39
598500,198400,37
599300,200400,88
599600,199200,107
595900,199800,63
604600,200800,44
603100,200500,143
602600,201300,21
601400,199900,30
596100,199500,31
596800,199200,46
599300,199200,68
603900,200200,83
600900,202000,25
595400,199800,23
600800,200500,126
597900,199900,32
605700,197600,33
598700,199600,43
600700,201800,35
603000,202500,37
600100,199600,835
603600,199000,28
599500,199900,35
599200,197600,20
599900,200100,30
598600,199400,65
601400,199700,93
596600,198300,32
597400,199400,40
599000,197500,39
602100,201900,56
603700,202000,20
600000,197500,60
605900,197600,224
599800,197400,54
596200,199700,68
599400,198700,38
602200,200400,196
600900,197300,79
596200,199500,30
600300,198400,25
601600,201200,29
595700,199800,85
602100,201400,91
597800,196600,52
601900,201100,37
602300,203600,26
595600,199900,28
598700,197400,73
598300,197700,46
597300,198900,26
602800,201100,80
604000,202200,28
598600,198800,27
599400,198900,116
603700,200100,20
602900,202500,68
603500,201100,30
596100,199700,31
600500,200800,63
602100,200900,30
598700,199400,76
600000,198500,24
603000,201000,59
600900,200600,41
599800,200500,47
604200,201200,21
602300,200500,71
599700,198800,208
598700,200200,23
600800,201800,212
602600,201100,28
604100,202000,34
596700,199400,124
599900,198900,29
600000,199900,166
597600,199000,26
601400,199600,68
600100,199800,312
596900,199400,43
601700,201500,30
601300,201000,80
596100,198700,58
597100,200000,49
600600,202000,34
601600,202200,34
603800,198000,36
604100,198100,39
602900,203300,29
597900,199300,40
599300,198200,23
602000,202700,32
597800,197000,41
603500,199100,42
603300,201500,44
599500,200500,77
603600,200700,27
602600,198400,107
598500,197400,26
602300,202500,252
599700,199700,38
601700,201800,299
599500,200300,51
601700,202100,75
601000,199600,115
599300,199100,37
600200,199600,282
600100,201700,20
601300,201300,50
599500,200400,58
595500,199300,21
596600,198700,21
596000,199700,41
600600,200900,83
604600,198300,44
602500,201700,23
599200,202300,39
599700,200100,35
596100,199100,21
603500,198400,20
602300,200400,123
598200,198700,44
602800,201500,57
599600,199700,22
602700,201400,44
604500,198400,20
603600,200400,90
600600,197500,24
599300,198500,20
602600,201000,48
596700,198700,27
599900,200500,60
600800,200700,35
597600,199200,66
602500,201600,156
598500,197200,22
595300,199200,25
602500,198700,35
602300,199400,48
602200,201500,27
601300,202100,89
601400,201400,66
605100,198000,31
598800,199800,25
600700,199300,21
597000,199000,38
597100,199200,41
599500,199600,100
596000,198800,42
604000,202000,36
598100,197400,28
600400,200800,139
599200,199300,90
602800,202300,33
604300,197000,35
601900,202400,35
599600,197100,21
596500,199700,32
602600,199300,40
595800,199800,71
600900,200700,45
599800,202700,33
601900,200400,95
598700,198800,29
599100,199400,39
595000,199300,95
598500,199500,27
601400,197900,23
601500,203100,21
603300,202500,34
598600,198300,26
600400,197500,58
598800,197700,32
602400,199400,85
600400,198300,25
602300,202800,70
600100,200200,135
603500,202500,34
600800,197500,27
600700,198600,40
597700,199200,129
595800,197900,97
596100,199800,54
604500,198300,20
602100,200700,44
599300,199400,61
599600,200100,57
596800,198700,33
602500,202200,23
598700,198000,48
601000,201300,77
604300,196900,23
596500,199600,33
598100,199100,24
601800,202300,48
600100,198700,34
604600,197100,31
599600,198300,49
603600,200600,32
596200,198900,74
599400,202100,24
601600,199100,65
600100,198100,45
604300,200600,27
603700,201900,23
602400,198500,32
599000,197700,37
600100,201300,37
598200,199700,26
605000,197000,65
597000,199100,33
603800,201000,73
598400,197200,39
597400,199100,54
602300,199000,123
603600,200800,21
604500,201200,20
597700,199400,48
596300,199800,72
600500,198800,31
598700,199200,63
596800,199100,41
601300,203900,37
598600,198000,43
601500,201100,29
601700,200700,50
602100,201600,64
