x,y,score
602700,198600,30
598600,198700,38
600700,199000,25
604200,201400,26
600000,197800,50
605400,197900,34
602400,202800,45
597200,199000,30
596500,198800,28
596600,198900,48
600100,198800,85
600400,199300,109
596100,198000,76
603400,200600,62
602500,200800,100
600100,199300,27
602400,199700,26
603300,198400,91
602400,203200,25
597200,199400,49
597300,199700,22
601100,198900,58
600700,200300,122
602500,201000,22
601700,201600,32
599900,202400,30
603900,200400,114
604800,200800,37
598500,198100,32
599600,200700,29
603400,201200,62
603500,203100,22
599600,200000,94
601800,201500,79
600700,199900,97
603000,201400,43
601200,201400,27
604700,201300,34
601200,201700,36
600700,199200,34
602300,203000,70
603900,201600,25
599600,200200,49
600100,198600,62
601000,199700,114
603900,198900,30
598300,201000,47
605000,197900,78
601000,200800,66
598200,199800,39
601100,201000,143
599600,199100,191
600300,199900,89
601600,201400,36
600900,199100,39
600500,201500,85
603500,201300,27
601300,199500,55
600600,201100,45
599900,198600,70
600900,199000,240
599400,199000,118
604600,198400,34
603800,200100,37
598300,197400,62
604100,199000,44
603700,201400,32
603300,201100,73
605400,198100,49
598400,197900,260
600400,199200,138
601900,200500,66
604600,197500,37
600100,199400,131
602700,202500,38
601600,197900,22
603900,199000,63
602100,200500,89
603100,201200,33
597900,199200,55
601000,200300,42
599500,199800,45
598300,198200,43
602400,199200,245
604600,200600,44
601200,200900,81
604800,198100,51
600100,200700,69
598200,197600,55
599200,202400,36
597900,196900,78
599000,199700,78
599600,202200,37
602700,199300,27
601300,197900,23
601500,203000,34
600600,199600,888
596100,199000,23
596400,199300,91
599800,199800,37
601600,203300,23
598700,197700,54
603600,198900,28
602300,202200,40
599200,200000,37
601100,201200,123
603500,198600,26
595800,198600,33
599700,199100,175
601000,201200,95
595900,199300,20
599700,198400,56
599400,202400,32
602500,202100,27
596000,198300,32
600900,201200,90
602300,201900,38
602700,203400,26
604700,197700,22
601700,200500,112
602800,202400,30
600800,198900,74
599500,202000,91
595900,199700,69
599800,198300,63
602200,199300,33
599400,198000,48
599500,200100,133
599300,198900,87
604900,197600,61
598000,199600,42
598900,199300,87
598200,198400,39
603400,198600,24
603800,198200,49
599000,198700,55
597800,199500,64
600100,199000,24
600300,198900,198
600000,201200,64
603900,198000,87
601200,197800,32
602200,198300,41
604700,197400,26
596600,199000,34
600800,198500,20
601500,200300,42
598300,199200,43
604600,201800,20
601800,200300,50
602600,200400,27
602600,199200,99
605100,198100,31
599800,200400,22
598200,196500,27
600000,197600,66
603500,197700,35
604400,200800,22
601400,200900,169
601000,199400,22
600300,199700,737
601900,201300,161
597700,196900,50
601500,202100,73
597600,199800,65
596600,199500,63
603500,200600,41
597800,199400,58
597100,198700,41
601500,200600,45
596100,199300,53
596700,198800,43
601000,200400,161
601300,203500,25
601800,200400,80
605000,197400,21
598600,200100,79
600500,199900,113
598600,199100,22
602200,202400,335
600600,201000,33
600500,201700,27
599100,197400,58
602500,202000,68
600100,198900,56
600800,199000,73
603300,202300,23
604100,200500,80
603300,200600,96
603100,202300,39
600000,197400,46
600700,198500,39
598300,196800,26
596500,200200,25
600200,200200,227
600900,202200,37
600700,200800,76
600900,197700,33
602300,202700,288
598700,198400,22
603500,199700,29
603900,200900,23
604200,196900,29
600200,201800,25
601300,201200,28
597100,199100,33
604700,200700,79
602800,200400,40
596300,199300,71
600800,200900,31
602300,203300,24
601300,199700,147
599600,198900,190
595500,199900,36
599400,198400,25
602400,203000,44
603300,197700,42
602900,198600,30
598100,199800,48
602500,199200,177
602300,198400,50
596600,198200,151
601000,199200,22
599600,199000,234
603100,198100,27
602200,198400,35
601800,203100,53
605100,197600,50
604900,197200,29
599400,199500,109
600400,199900,42
599800,198600,104
601500,203400,22
600500,200900,54
595600,199800,48
597300,198700,63
603500,200500,155
598400,198500,43
598600,198900,27
602000,202900,42
601100,202500,28
602400,198400,63
602100,201500,191
596900,199700,44
600800,201100,49
602000,201800,54
603900,202000,34
604500,196900,24
602700,203600,33
600700,201400,66
599900,201800,23
604300,197100,21
597400,199700,21
598900,200300,35
600500,201100,123
597900,199000,25
600000,199000,21
601100,197900,23
