x,y,score
598600,198700,38
600000,197800,43
602400,202800,24
597200,199000,33
596600,198900,61
600100,198800,30
600400,199300,42
596100,198000,34
595300,199500,38
603400,200600,34
602500,200800,26
603300,198400,24
597200,199400,44
599700,202100,31
601100,198900,32
600700,200300,85
601700,201600,23
603900,200400,118
604800,200800,22
603400,201200,39
603500,203100,32
599600,200000,60
601800,201500,70
600700,199900,43
601200,201400,29
599600,200200,64
600100,198600,21
601000,199700,27
605000,197900,38
601000,200800,42
601100,201000,97
599600,199100,57
601600,201400,31
600900,199100,35
599900,198600,46
600900,199000,89
599400,199000,45
604600,198400,39
603800,200100,37
604300,202200,37
598300,197400,44
603300,201100,43
605400,198100,64
598400,197900,97
600400,199200,38
601900,200500,27
602100,200500,27
597900,199200,42
599800,202800,25
598300,198200,27
602400,199200,132
604600,200600,46
601200,200900,80
604800,198100,25
600100,200700,37
598200,197600,29
599200,202400,38
597900,196900,40
599600,202200,24
602700,199300,20
600600,199600,115
596100,199000,35
596400,199300,109
598700,197700,22
599200,200000,24
601100,201200,112
603500,198600,42
595800,198600,50
599700,199100,51
601000,201200,47
595900,199300,28
599700,198400,35
596000,198300,30
600900,201200,44
604800,200500,28
604300,201000,20
602700,203400,21
601700,200500,41
602800,202400,39
599500,202000,33
595900,199700,71
599800,198300,38
602200,199300,31
599400,198000,53
599500,200100,76
599300,198900,99
604900,197600,28
598000,199600,22
598900,199300,62
599000,198700,63
597800,199500,37
600300,198900,23
601200,197800,24
602200,198300,39
596600,199000,51
600800,198500,20
601500,200300,52
598300,199200,54
601800,200300,29
599400,202700,20
602600,199200,95
600000,197600,80
603500,197700,23
604400,200800,35
601400,200900,165
600300,199700,77
597700,196900,49
596600,199500,37
603500,200600,20
604500,197200,20
601500,200600,63
596100,199300,41
601000,200400,57
601800,200400,46
598600,200100,24
600500,199900,36
602200,202400,31
600600,201000,24
599100,197400,48
600100,198900,20
604100,200500,60
603300,200600,50
603100,202300,40
600000,197400,42
600700,198500,35
600200,200200,32
605000,200400,29
600700,200800,47
600900,197700,31
602300,202700,24
598700,198400,20
603900,200900,24
602100,199300,24
604200,196900,33
601300,201200,27
597100,199100,28
604700,200700,83
596300,199300,82
600800,200900,63
601300,199700,85
599600,198900,70
595500,199900,43
599400,198400,27
603300,197700,21
602900,198600,25
602500,199200,73
602300,198400,33
596600,198200,53
599600,199000,76
604600,198200,21
602200,198400,31
605100,197600,20
599400,199500,31
599800,198600,70
600500,200900,32
595600,199800,86
603500,200500,81
598400,198500,40
601100,202500,40
602400,198400,33
602100,201500,69
596900,199700,27
600800,201100,35
603900,202000,28
598900,200300,39
600500,201100,55
603400,200400,54
599800,200100,21
600100,198400,20
599400,199600,68
601000,200900,73
603900,199900,24
599800,202300,22
595500,199800,94
598400,198700,54
601000,202500,21
603700,199900,48
598200,197700,44
601300,200700,51
599500,197900,29
600300,198100,44
603300,202600,32
601400,197700,31
599700,200300,56
598400,198900,50
602000,201300,21
605200,197700,37
601000,199800,30
600900,201000,68
600800,200600,21
602300,198600,24
601900,199500,44
600600,200500,71
599600,200400,155
596400,199800,40
601100,200400,68
595900,199600,21
595500,199700,47
601100,200700,32
598300,198300,22
599000,200100,70
601400,200700,28
601300,203700,22
600300,197600,31
596300,199500,47
599100,200500,80
601600,199000,30
596800,199500,202
604000,200800,36
600400,198100,64
598300,198600,35
598500,198400,31
599300,200400,69
599600,199200,79
595900,199800,56
604600,200800,49
603100,200500,107
601400,199900,26
596100,199500,25
596800,199200,38
599300,199200,35
603900,200200,79
595400,199800,29
