x,y,score
602700,198600,82
601400,198800,22
598600,198700,48
600700,199000,25
598400,199700,25
600000,197800,40
605400,197900,63
602400,202800,62
599300,199900,23
597200,199000,46
596500,198800,20
596600,198900,63
600100,198800,75
600400,199300,76
596100,198000,115
595300,199500,34
603400,200600,64
602500,200800,73
600100,199300,28
602400,199700,24
603300,198400,92
597200,199400,48
599700,202100,27
601100,198900,63
600700,200300,112
602500,201000,42
601700,201600,54
603900,200400,100
598500,198100,34
599600,200700,34
603400,201200,76
603500,203100,24
599600,200000,138
601800,201500,85
600700,199900,82
603000,201400,50
599100,201100,21
601300,203400,23
601200,201400,34
604700,201300,23
601200,201700,94
600700,199200,29
602300,203000,55
598800,197600,27
599600,200200,72
600100,198600,48
601000,199700,97
605000,197900,74
601000,200800,53
598200,199800,50
601100,201000,113
599600,199100,153
600300,199900,88
595700,198100,20
598300,199700,21
601600,201400,31
600900,199100,52
603700,198800,20
600500,201500,43
603500,201300,37
601300,199500,31
600600,201100,68
599900,198600,83
600900,199000,166
599400,199000,119
604600,198400,42
603600,201400,27
603800,200100,43
601300,203100,22
604300,202200,29
598300,197400,51
604100,199000,23
603700,201400,25
603300,201100,91
605400,198100,92
598400,197900,313
600400,199200,68
601900,200500,82
604600,197500,37
600100,199400,114
602700,202500,48
603900,199000,35
602100,200500,101
603100,201200,30
597900,199200,75
599800,202800,27
601000,200300,51
599500,199800,37
598300,198200,36
605900,197700,20
602400,199200,227
604600,200600,41
600900,198700,30
601200,200900,87
604800,198100,62
600100,200700,95
598200,197600,63
599200,202400,39
597900,196900,67
599000,199700,119
599600,202200,21
602700,199300,30
601500,203000,56
600600,199600,521
596100,199000,37
596400,199300,109
599800,199800,68
601600,203300,60
598700,197700,56
603600,198900,40
602300,202200,46
599200,200000,37
595700,199900,22
601100,201200,129
603500,198600,38
595800,198600,41
599700,199100,171
601000,201200,89
595900,199300,43
599700,198400,71
602500,202100,68
596000,198300,31
600900,201200,89
602300,201900,46
604700,197700,29
601700,200500,141
602800,202400,39
600800,198900,51
599500,202000,51
595900,199700,92
599800,198300,71
602200,199300,39
599400,198000,47
599500,200100,116
599300,198900,143
604900,197600,39
598000,199600,53
598900,199300,105
598200,198400,31
603400,198600,23
603800,198200,38
599000,198700,76
599100,197900,28
597800,199500,63
600100,199000,28
600300,198900,53
600000,201200,27
603900,198000,38
601200,197800,28
602200,198300,47
604700,197400,37
596900,198500,39
596600,199000,43
600800,198500,30
598800,198400,20
601500,200300,85
598300,199200,45
601800,200300,84
602600,200400,36
602600,199200,152
599300,200700,25
605100,198100,34
599800,200400,29
602500,200400,20
600000,197600,73
603500,197700,42
603600,198200,22
604500,198500,22
604400,200800,37
601400,200900,203
601000,199400,20
600300,199700,417
601900,201300,98
597700,196900,49
601500,202100,84
597600,199800,86
596600,199500,54
603500,200600,38
604800,197400,23
597800,199400,65
604500,197200,23
597100,198700,41
601500,200600,73
596100,199300,67
596700,198800,31
601000,200400,156
601800,200400,132
599600,198000,20
595800,198700,20
598600,200100,83
603300,198300,35
600500,199900,96
598600,199100,21
602200,202400,566
600600,201000,66
600500,201700,29
599100,197400,37
602500,202000,76
600100,198900,38
598100,199500,26
600800,199000,60
604100,200500,50
603300,200600,102
601200,198800,21
600900,199900,30
603100,202300,38
600000,197400,41
600700,198500,48
596500,200200,37
600200,200200,287
599800,198100,24
605000,200400,28
600900,202200,20
600700,200800,82
600900,197700,31
602300,202700,264
598700,198400,21
603500,199700,74
603900,200900,30
602100,199300,24
604200,196900,29
600200,201800,30
601300,201200,25
595600,197800,29
597100,199100,27
602800,202800,22
604700,200700,55
602800,200400,73
596300,199300,99
600800,200900,59
602300,203300,23
601300,199700,119
599600,198900,214
595500,199900,29
599400,198400,39
602400,203000,48
603300,197700,27
602900,198600,36
598100,199800,43
602500,199200,175
602300,198400,38
596600,198200,126
601100,202000,25
599600,199000,223
603600,201700,23
604600,198200,28
602200,198400,37
601800,203100,65
605100,197600,52
604900,197200,27
599400,199500,127
599400,199900,34
600400,199900,52
599800,198600,130
601500,203400,41
600500,200900,59
595600,199800,69
597300,198700,34
602600,200300,28
603500,200500,152
598400,198500,44
598600,198900,27
602000,202900,47
601100,202500,32
602400,198400,39
602100,201500,191
596900,199700,39
600800,201100,56
602000,201800,72
603900,202000,38
604500,196900,23
602700,203600,29
600700,201400,64
599900,201800,23
602500,201400,23
602500,200000,24
598900,200300,59
600500,201100,211
597900,199000,32
600000,199000,21
601900,202900,67
601300,203600,22
603400,200400,51
602200,202600,97
599800,200100,33
600100,198400,23
599400,199600,258
601000,200900,74
604600,197700,55
601500,199400,27
599800,202300,21
604800,197300,36
595600,199600,25
595500,199800,79
598400,198700,59
601600,202300,23
599700,202700,20
601000,202500,23
600400,200200,50
603700,199900,47
598200,197700,42
601300,200700,59
599500,197900,30
600300,198100,36
603300,202600,41
600500,201800,73
601400,197700,29
599700,200300,56
598400,198900,50
601700,199400,27
602000,201300,115
605200,197700,51
601000,199800,105
600900,201000,54
597900,199400,27
603700,201800,32
600800,200600,26
602300,198600,42
601900,199500,48
600600,200500,155
599600,200400,215
596400,199800,59
601100,200400,107
595900,199600,28
595500,199700,41
601100,200700,53
598300,198300,45
599000,200100,83
600000,199300,39
601400,200700,40
601300,203700,26
601900,202000,91
595400,199100,21
600300,197600,39
601000,197500,35
596400,198500,26
596300,199500,65
599100,200500,118
601600,199000,28
596800,199500,184
598600,200000,96
604000,200800,36
600800,199400,39
600400,198100,58
603900,198100,47
603700,201300,24
597500,199500,50
598300,198600,44
598500,198400,32
599300,200400,114
599600,199200,171
595900,199800,69
604600,200800,43
603100,200500,140
602600,201300,26
601400,199900,32
596100,199500,32
596800,199200,45
599300,199200,163
603900,200200,70
595900,197800,30
600800,200500,167
597900,199900,30
605700,197600,29
598700,199600,83
600700,201800,44
603000,202500,48
600100,199600,1422
603600,199000,22
599500,199900,61
599200,197600,24
599900,200100,47
598600,199400,78
601400,199700,94
596600,198300,37
597400,199400,42
599000,197500,34
602100,201900,75
603700,202000,27
600000,197500,53
605900,197600,184
599800,197400,48
596200,199700,73
599400,198700,44
602200,200400,263
600900,197300,134
596200,199500,36
600300,198400,27
601600,201200,26
601500,202600,22
595700,199800,81
602100,201400,125
597800,196600,42
601900,201100,89
601600,199200,22
602300,203600,40
595600,199900,23
602700,202900,23
598700,197400,78
598300,197700,51
597300,198900,33
602800,201100,77
604000,202200,22
598600,198800,40
599400,198900,166
596400,199100,21
603700,200100,24
602900,202500,98
603500,201100,28
596100,199700,36
600500,200800,80
602100,200900,157
598700,199400,121
600000,198500,25
599400,201500,23
603000,201000,62
600900,200600,47
599800,200500,61
602300,200500,94
599700,198800,395
598700,200200,68
600800,201800,248
602600,201100,38
604100,202000,35
596700,199400,118
599900,198900,40
600000,199900,426
597600,199000,23
601400,199600,80
600100,199800,666
596900,199400,60
601700,201500,30
601300,201000,67
596100,198700,64
597100,200000,46
600600,202000,35
601600,202200,35
603800,198000,27
604100,198100,51
602900,203300,26
597900,199300,48
599300,198200,22
602000,202700,37
597800,197000,41
603500,199100,36
603300,201500,51
599500,200500,87
603600,200700,31
602600,198400,108
598500,197400,24
602300,202500,457
599700,199700,51
601700,201800,572
599500,200300,57
601700,202100,67
601000,199600,190
599300,199100,57
600200,199600,407
601300,201300,50
599500,200400,53
595500,199300,23
596600,198700,32
596000,199700,52
600600,200900,87
604600,198300,45
602500,201700,22
599200,202300,36
599700,200100,46
603500,198400,35
602300,200400,141
598200,198700,37
602800,201500,76
